Dataset,Attack,Model,Metric,Value
adult,deepfool,lr,eval_L1,1.4389104
adult,deepfool,lr,eval_L2,0.63551676
adult,deepfool,lr,eval_Linf,0.41891786
adult,deepfool,lr,eval_MAD,7.112114
adult,deepfool,lr,eval_Mahalanobis,0.12744354
adult,deepfool,lr,eval_Sparsity,3.9497216
adult,deepfool,lr,eval_Perturbation_Sensitivity,3.0324252
adult,deepfool,lr,eval_Neighbour_Distance,0.5443894
adult,deepfool,svc,eval_L1,0.13907464
adult,deepfool,svc,eval_L2,0.11081838
adult,deepfool,svc,eval_Linf,0.10863635
adult,deepfool,svc,eval_MAD,1.4587445
adult,deepfool,svc,eval_Mahalanobis,0.008880699
adult,deepfool,svc,eval_Sparsity,3.6946163
adult,deepfool,svc,eval_Perturbation_Sensitivity,5.0921836
adult,deepfool,svc,eval_Neighbour_Distance,0.09890491
adult,deepfool,nn_2,eval_L1,3.1592584
adult,deepfool,nn_2,eval_L2,0.9627499
adult,deepfool,nn_2,eval_Linf,0.4153762
adult,deepfool,nn_2,eval_MAD,7.568248
adult,deepfool,nn_2,eval_Mahalanobis,0.2860526
adult,deepfool,nn_2,eval_Sparsity,4.7433476
adult,deepfool,nn_2,eval_Perturbation_Sensitivity,2.6978302
adult,deepfool,nn_2,eval_Neighbour_Distance,0.76768464
adult,carlini_l_2,lr,eval_L1,0.7873866
adult,carlini_l_2,lr,eval_L2,0.52172846
adult,carlini_l_2,lr,eval_Linf,0.40812445
adult,carlini_l_2,lr,eval_MAD,3.4700418
adult,carlini_l_2,lr,eval_Mahalanobis,0.077267535
adult,carlini_l_2,lr,eval_Sparsity,3.714573
adult,carlini_l_2,lr,eval_Perturbation_Sensitivity,2.5313249
adult,carlini_l_2,lr,eval_Neighbour_Distance,0.41902027
adult,carlini_l_2,svc,eval_L1,0.0007928289
adult,carlini_l_2,svc,eval_L2,0.00056955445
adult,carlini_l_2,svc,eval_Linf,0.00049676135
adult,carlini_l_2,svc,eval_MAD,0.0033434997
adult,carlini_l_2,svc,eval_Mahalanobis,7.569777e-05
adult,carlini_l_2,svc,eval_Sparsity,2.0699258
adult,carlini_l_2,svc,eval_Perturbation_Sensitivity,4.6685557
adult,carlini_l_2,svc,eval_Neighbour_Distance,0.0005464415
adult,carlini_l_2,nn_2,eval_L1,0.26091653
adult,carlini_l_2,nn_2,eval_L2,0.18662505
adult,carlini_l_2,nn_2,eval_Linf,0.15695591
adult,carlini_l_2,nn_2,eval_MAD,0.9181334
adult,carlini_l_2,nn_2,eval_Mahalanobis,0.027682565
adult,carlini_l_2,nn_2,eval_Sparsity,3.094833
adult,carlini_l_2,nn_2,eval_Perturbation_Sensitivity,3.624808
adult,carlini_l_2,nn_2,eval_Neighbour_Distance,0.12365116
adult,carlini_l_inf,lr,eval_L1,0.0029566756
adult,carlini_l_inf,lr,eval_L2,0.0020187327
adult,carlini_l_inf,lr,eval_Linf,0.0014915451
adult,carlini_l_inf,lr,eval_MAD,0.008582715
adult,carlini_l_inf,lr,eval_Mahalanobis,0.00031964606
adult,carlini_l_inf,lr,eval_Sparsity,2.1297958
adult,carlini_l_inf,lr,eval_Perturbation_Sensitivity,4.6688366
adult,carlini_l_inf,lr,eval_Neighbour_Distance,0.0016065736
adult,carlini_l_inf,svc,eval_L1,0.00310379
adult,carlini_l_inf,svc,eval_L2,0.0021182252
adult,carlini_l_inf,svc,eval_Linf,0.0015732255
adult,carlini_l_inf,svc,eval_MAD,0.009015161
adult,carlini_l_inf,svc,eval_Mahalanobis,0.00033469422
adult,carlini_l_inf,svc,eval_Sparsity,2.1288676
adult,carlini_l_inf,svc,eval_Perturbation_Sensitivity,4.667076
adult,carlini_l_inf,svc,eval_Neighbour_Distance,0.0017179869
adult,carlini_l_inf,nn_2,eval_L1,0.0033092157
adult,carlini_l_inf,nn_2,eval_L2,0.0022599036
adult,carlini_l_inf,nn_2,eval_Linf,0.0016844533
adult,carlini_l_inf,nn_2,eval_MAD,0.009594316
adult,carlini_l_inf,nn_2,eval_Mahalanobis,0.0003511042
adult,carlini_l_inf,nn_2,eval_Sparsity,2.1396968
adult,carlini_l_inf,nn_2,eval_Perturbation_Sensitivity,4.665376
adult,carlini_l_inf,nn_2,eval_Neighbour_Distance,0.0017854286
