Dataset,Attack,Model,Metric,Value
adult,deepfool,lr,pred_attack_success,0.8965037128712872
adult,deepfool,lr,groundtruth_attack_success,0.8268873762376238
adult,deepfool,lr,original_accuracy,0.8524133663366337
adult,deepfool,lr,robust_accuracy,0.17311262376237624
adult,deepfool,svc,pred_attack_success,1.0
adult,deepfool,svc,groundtruth_attack_success,0.8531868811881188
adult,deepfool,svc,original_accuracy,0.8531868811881188
adult,deepfool,svc,robust_accuracy,0.1468131188118812
adult,deepfool,nn_2,pred_attack_success,0.9682858910891089
adult,deepfool,nn_2,groundtruth_attack_success,0.8510210396039604
adult,deepfool,nn_2,original_accuracy,0.8521039603960396
adult,deepfool,nn_2,robust_accuracy,0.1489789603960396
adult,carlini_l_2,lr,pred_attack_success,0.6974009900990099
adult,carlini_l_2,lr,groundtruth_attack_success,0.8449876237623762
adult,carlini_l_2,lr,original_accuracy,0.8524133663366337
adult,carlini_l_2,lr,robust_accuracy,0.15501237623762376
adult,carlini_l_2,svc,pred_attack_success,0.013768564356435644
adult,carlini_l_2,svc,groundtruth_attack_success,0.16058168316831684
adult,carlini_l_2,svc,original_accuracy,0.8531868811881188
adult,carlini_l_2,svc,robust_accuracy,0.8394183168316832
adult,carlini_l_2,nn_2,pred_attack_success,0.4274443069306931
adult,carlini_l_2,nn_2,groundtruth_attack_success,0.5753403465346535
adult,carlini_l_2,nn_2,original_accuracy,0.8521039603960396
adult,carlini_l_2,nn_2,robust_accuracy,0.4246596534653465
adult,carlini_l_inf,lr,pred_attack_success,0.03233292079207921
adult,carlini_l_inf,lr,groundtruth_attack_success,0.17991955445544555
adult,carlini_l_inf,lr,original_accuracy,0.8524133663366337
adult,carlini_l_inf,lr,robust_accuracy,0.8200804455445545
adult,carlini_l_inf,svc,pred_attack_success,0.03233292079207921
adult,carlini_l_inf,svc,groundtruth_attack_success,0.1791460396039604
adult,carlini_l_inf,svc,original_accuracy,0.8531868811881188
adult,carlini_l_inf,svc,robust_accuracy,0.8208539603960396
adult,carlini_l_inf,nn_2,pred_attack_success,0.034962871287128716
adult,carlini_l_inf,nn_2,groundtruth_attack_success,0.1828589108910891
adult,carlini_l_inf,nn_2,original_accuracy,0.8521039603960396
adult,carlini_l_inf,nn_2,robust_accuracy,0.8171410891089109
