,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.5136986,0.0,3.320348e-06,0.1428633,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,54.499996,0.0,0.014463436,15.000604,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,60.73138689994812,Y,Y,<=50K,<=50K,>50K
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.6575384,0.041020412,1.0174195e-06,0.19387303,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,65.000305,4102.0,0.0044318796,19.999557,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,60.73138689994812,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.16438784,0.070735715,3.8955986e-07,0.39796352,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,29.00031,7073.501,0.0016969227,40.000423,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,60.73138689994812,Y,Y,<=50K,<=50K,>50K
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.5000001,0.014425146,0.0011014048,0.3982752,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,53.500008,1442.5002,4.797719,40.030968,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,60.73138689994812,Y,Y,>50K,>50K,<=50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.20547542,0.070735715,1.3769015e-05,0.39795706,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,31.999706,7073.501,0.05997783,39.99979,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,60.73138689994812,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.28767115,0.070735715,0.0,0.47960487,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,37.999992,7073.501,0.0,48.001278,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,60.73138689994812,Y,Y,<=50K,<=50K,>50K
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.22235402,0.30964762,0.009242769,0.43009683,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,33.231846,30964.453,40.2615,43.14949,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,60.73138689994812,Y,Y,>50K,>50K,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.24656543,0.05095551,8.9564065e-07,0.39796057,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,34.999275,5095.5,0.0039014106,40.000137,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,60.73138689994812,Y,Y,<=50K,<=50K,>50K
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.47936538,0.67047673,0.00010962632,0.49993208,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,51.99367,67047.0,0.47753227,49.993347,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,60.73138689994812,Y,Y,<=50K,<=50K,>50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,0.28082195,6.0408074e-06,1.093062e-06,0.39797458,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,37.5,0.6040747,0.0047613783,40.001507,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,60.73138689994812,N,N,<=50K,>50K,<=50K
