,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.52237856,0.018676952,0.0021501824,0.14589082,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,55.133636,1867.6765,9.366195,15.297299,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.658134,0.0072308364,0.0012738332,0.19525777,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,65.04378,723.0764,5.5488176,20.135262,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.18097837,0.20195068,0.02835577,0.42996544,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,30.21142,20194.867,123.51773,43.136612,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.44242278,0.0,0.0,0.29975018,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,49.29686,0.0,0.0,30.375517,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,58.98571968078613,Y,Y,>50K,>50K,<=50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.2149094,0.11773655,0.014232502,0.4191527,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,32.68839,11773.537,61.99678,42.076965,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.31452835,0.22939932,0.034201775,0.51397526,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,39.96057,22939.703,148.98293,51.369576,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.1697752,0.0,0.0,0.39163145,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,29.393589,0.0,0.0,39.379883,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,58.98571968078613,Y,Y,>50K,>50K,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.2527247,0.07399015,0.008932766,0.41052714,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,35.448906,7398.941,38.911125,41.23166,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.5065747,0.21237284,0.032085888,0.544868,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,53.979954,21237.072,139.76613,54.397064,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,0.26540062,0.05927255,0.007393147,0.408429,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,36.374245,5927.196,32.204548,41.026043,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.1232876712328767,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K,26.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K,0.14030653,0.19652517,0.023792878,0.41274017,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,27.242378,19652.32,103.64178,41.448536,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.27397260273972607,0.0,0.0,0.37755102040816324,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K,37.00000000000001,0.0,0.0,38.0,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K,0.2827503,0.12710959,0.017792197,0.3962949,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,37.640774,12710.832,77.50281,39.8369,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.1232876712328767,0.024070240702407025,0.0,0.5,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,26.0,2407.0,0.0,50.00000000000001,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.121874064,0.0076444754,0.0,0.49716258,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,25.896807,764.4399,0.0,49.72193,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,58.98571968078613,N,N,<=50K,>50K,<=50K
0,0.1506849315068493,0.0,0.0,0.39795918367346933,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K,28.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K,0.14895642,0.0,0.0,0.39446244,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,27.87382,0.0,0.0,39.65732,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,58.98571968078613,Y,Y,>50K,>50K,<=50K
0,0.4246575342465753,0.07688076880768807,0.0,0.39795918367346933,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,48.0,7688.0,0.0,40.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.4262121,0.09480559,0.0028587827,0.40170717,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,48.113483,9480.464,12.452857,40.367302,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,58.98571968078613,N,N,>50K,<=50K,>50K
0,0.3424657534246575,0.0,0.3232323232323232,0.39795918367346933,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K,42.0,0.0,1408.0,40.0,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K,0.34667605,0.0447188,0.33070585,0.40575123,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,42.307354,4471.835,1440.5547,40.76362,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.1506849315068493,0.0,0.0,0.31632653061224486,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K,28.0,0.0,0.0,32.0,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K,0.17465077,0.22769076,0.02935309,0.35385114,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States,29.749506,22768.848,127.86206,35.67741,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.0547945205479452,0.0,0.39462809917355374,0.2959183673469387,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K,21.0,0.0,1719.0,29.999999999999996,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K,0.07146526,0.18986788,0.42523733,0.32929754,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,22.216965,18986.598,1852.3337,33.27116,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.0,0.5544077134986226,0.2959183673469387,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.0,0.0,2415.0,29.999999999999996,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.39476788,0.0,0.46748498,0.15458095,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,45.818054,0.0,2036.3646,16.148933,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,58.98571968078613,Y,Y,>50K,>50K,<=50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,<=50K,0.08828663,0.2561704,0.039928768,0.4479556,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,23.444925,25616.783,173.92972,44.89965,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,58.98571968078613,Y,Y,<=50K,<=50K,>50K
0,0.41095890410958896,0.0,0.0,0.5,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,46.99999999999999,0.0,0.0,50.00000000000001,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.38935816,0.0,3.0184458e-07,0.41177028,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,45.423145,0.0,0.001314835,41.35349,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,58.98571968078613,Y,Y,>50K,>50K,<=50K
