,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.5205429,0.05095551,0.0,0.14285485,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,54.999634,5095.5,0.0,14.999775,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,995.8545451164246,Y,Y,<=50K,<=50K,>50K
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.6575302,0.05095551,2.035954e-06,0.19387478,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,64.9997,5095.5,0.008868615,19.999727,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,995.8545451164246,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.1644012,0.07731578,2.0810974e-05,0.39795807,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,29.001287,7731.5005,0.0906526,39.99989,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,995.8545451164246,Y,Y,<=50K,<=50K,>50K
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.041095745,0.30961835,0.09598541,0.24488667,State-gov,Doctorate,Never-married,Prof-specialty,Husband,White,Male,United-States,19.999989,30961.525,418.11246,24.998894,State-gov,Doctorate,Never-married,Prof-specialty,Husband,White,Male,United-States,995.8545451164246,Y,Y,>50K,>50K,<=50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.20547102,0.070735715,7.920364e-06,0.39796802,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,31.999384,7073.501,0.034501106,40.000866,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,995.8545451164246,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.29452062,0.08028581,0.0007374031,0.47991365,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,38.500004,8028.5005,3.212128,48.031536,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,995.8545451164246,Y,Y,<=50K,<=50K,>50K
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.05479434,0.094643146,0.008906406,0.37244636,Private,Bachelors,Never-married,Exec-managerial,Husband,White,Male,United-States,20.999987,9464.22,38.796307,37.499744,Private,Bachelors,Never-married,Exec-managerial,Husband,White,Male,United-States,995.8545451164246,Y,Y,>50K,>50K,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.24657889,0.05095551,1.5698249e-06,0.39796433,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,35.00026,5095.5,0.0068381573,40.000504,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,995.8545451164246,Y,Y,<=50K,<=50K,>50K
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.47944027,0.070735715,2.2126794e-06,0.49999607,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,51.99914,7073.501,0.0096384315,49.999615,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,995.8545451164246,Y,Y,<=50K,<=50K,>50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,0.41957957,0.3281801,0.45672652,0.31931147,Private,Some-college,Divorced,Machine-op-inspct,Husband,White,Male,United-States,47.62931,32817.684,1989.5007,32.292522,Private,Some-college,Divorced,Machine-op-inspct,Husband,White,Male,United-States,995.8545451164246,N,N,<=50K,>50K,<=50K
0,0.1232876712328767,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K,26.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K,0.14383604,0.09207603,7.631412e-05,0.36734557,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,27.50003,9207.512,0.3324243,36.999866,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,995.8545451164246,Y,Y,<=50K,<=50K,>50K
0,0.27397260273972607,0.0,0.0,0.37755102040816324,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K,37.00000000000001,0.0,0.0,38.0,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K,0.27404258,0.07076571,0.00066335587,0.38265315,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,37.005108,7076.5005,2.889578,38.500008,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,995.8545451164246,Y,Y,<=50K,<=50K,>50K
