,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.5222689,0.017141312,0.0019728814,0.14528897,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,55.12563,1714.1141,8.593871,15.238319,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,58.578864336013794,Y,Y,<=50K,<=50K,>50K
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.6582257,0.011998766,0.0013017809,0.19503544,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,65.050476,1199.8646,5.6705575,20.113472,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,58.578864336013794,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.16937806,0.12878457,0.012778891,0.411549,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,29.364597,12878.328,55.664852,41.331802,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,58.578864336013794,Y,Y,<=50K,<=50K,>50K
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.4784249,0.0,6.852324e-07,0.35313076,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,51.92502,0.0,0.0029848723,35.606815,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,58.578864336013794,Y,Y,>50K,>50K,<=50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.20963785,0.07607187,0.008865641,0.405361,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,32.303562,7607.1113,38.618732,40.725376,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,58.578864336013794,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.29397973,0.14229919,0.013767927,0.49291274,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,38.460518,14229.776,59.97309,49.30545,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,58.578864336013794,Y,Y,<=50K,<=50K,>50K
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.19760446,0.0,0.0,0.39984578,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,31.425125,0.0,0.0,40.184887,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,58.578864336013794,Y,Y,>50K,>50K,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.24889316,0.054571446,0.0058827656,0.40351412,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,35.1692,5457.09,25.625326,40.544384,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,58.578864336013794,Y,Y,<=50K,<=50K,>50K
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.48735717,0.14032917,0.014339527,0.5152183,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,52.577072,14032.776,62.46298,51.491394,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,58.578864336013794,Y,Y,<=50K,<=50K,>50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,0.26214004,0.044238217,0.0046858815,0.4023804,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,36.136223,4423.7773,20.4117,40.43328,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,58.578864336013794,Y,Y,<=50K,<=50K,>50K
