,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.12820496,0.026315492,4.5564383e-09,0.0018773468,25 - 45,Female,Other,F,0,0,0,27.999987,0.9999887,4.8161555e-06,1.5000001,25 - 45,Female,Other,F,0,0,0,59.48143029212952,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.051284816,0.19736843,0.15893929,0.07760686,Less than 25,Male,Caucasian,F,1,0,1,22.000216,7.5000005,167.99883,62.007877,Less than 25,Male,Caucasian,F,1,0,1,59.48143029212952,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.32996196,0.0076567666,0.063859984,0.0707134,25 - 45,Male,African-American,M,0,0,0,43.73703,0.29095712,67.5,56.500008,25 - 45,Male,African-American,M,0,0,0,59.48143029212952,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.1666667,0.0023150574,0.0021234495,0.024405511,25 - 45,Male,African-American,M,0,0,0,31.000002,0.08797218,2.244486,19.500004,25 - 45,Male,African-American,M,0,0,0,59.48143029212952,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.14102675,0.0,0.0,0.0056320406,25 - 45,Male,African-American,F,0,0,0,29.000086,0.0,0.0,4.5000005,25 - 45,Male,African-American,F,0,0,0,59.48143029212952,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,High,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,High,0.07692302,0.052631587,0.0004730369,0.0037547487,Less than 25,Male,African-American,M,0,0,0,23.999996,2.0000002,0.5,3.0000443,Less than 25,Male,African-American,M,0,0,0,59.48143029212952,N,N,Medium-Low,High,Medium-Low
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.076870464,1.7462757e-05,0.00047303704,0.0031289114,Less than 25,Male,African-American,M,1,0,1,23.995895,0.00066358474,0.5000002,2.5000002,Less than 25,Male,African-American,M,1,0,1,59.48143029212952,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.17942381,5.7516194e-05,0.00047303733,0.0031289114,25 - 45,Male,African-American,F,0,0,0,31.995056,0.0021856155,0.5000005,2.5000002,25 - 45,Male,African-American,F,0,0,0,59.48143029212952,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.12179489,0.03947367,0.0054401304,0.033166464,25 - 45,Male,Hispanic,F,1,0,1,27.500002,1.4999995,5.750218,26.500006,25 - 45,Male,Hispanic,F,1,0,1,59.48143029212952,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.2435894,0.105263785,0.0009460281,0.0056320406,25 - 45,Female,African-American,M,0,0,0,36.999973,4.000024,0.9999517,4.5000005,25 - 45,Female,African-American,M,0,0,0,59.48143029212952,Y,Y,Medium-Low,Medium-Low,High
