,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,3.3328774e-08,0.27208298,0.009822427,0.10137758,25 - 45,Female,Other,F,0,0,0,18.000002,10.339153,10.382306,81.00069,25 - 45,Female,Other,F,0,0,0,57.46276903152466,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.0846707,0.10187138,0.15646632,0.053195693,Less than 25,Male,Caucasian,F,1,0,1,24.604315,3.8711123,165.3849,42.503357,Less than 25,Male,Caucasian,F,1,0,1,57.46276903152466,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.19944865,0.23158394,0.013948797,0.101716585,25 - 45,Male,African-American,M,0,0,0,33.55699,8.80019,14.743878,81.27155,25 - 45,Male,African-American,M,0,0,0,57.46276903152466,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.047721338,0.16052067,0.00801966,0.06921645,25 - 45,Male,African-American,M,0,0,0,21.722265,6.099786,8.47678,55.303947,25 - 45,Male,African-American,M,0,0,0,57.46276903152466,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.06086821,0.13877232,0.008346524,0.06275441,25 - 45,Male,African-American,F,0,0,0,22.74772,5.2733483,8.822276,50.14077,25 - 45,Male,African-American,F,0,0,0,57.46276903152466,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,0.045467142,0.10413423,0.002074667,0.025400419,Less than 25,Male,African-American,M,0,0,0,21.546438,3.9571009,2.192923,20.294935,Less than 25,Male,African-American,M,0,0,0,57.46276903152466,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.052023396,0.043604795,0.002986338,0.020479772,Less than 25,Male,African-American,M,1,0,1,22.057825,1.6569822,3.1565592,16.363338,Less than 25,Male,African-American,M,1,0,1,57.46276903152466,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.091078535,0.15306471,0.010887788,0.07005658,25 - 45,Male,African-American,F,0,0,0,25.104126,5.816459,11.508391,55.97521,25 - 45,Male,African-American,F,0,0,0,57.46276903152466,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.021811996,0.16985884,0.0055700396,0.050887424,25 - 45,Male,Hispanic,F,1,0,1,19.701336,6.454636,5.8875318,40.659054,25 - 45,Male,Hispanic,F,1,0,1,57.46276903152466,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.16186981,0.24644867,0.0075848037,0.060971297,25 - 45,Female,African-American,M,0,0,0,30.625845,9.365049,8.017138,48.71607,25 - 45,Female,African-American,M,0,0,0,57.46276903152466,Y,Y,Medium-Low,Medium-Low,High
