,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.039344195,0.29786173,0.0,0.14192109,25 - 45,Female,Other,F,0,0,0,21.068848,11.318746,0.0,113.39495,25 - 45,Female,Other,F,0,0,0,27.133953332901,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.09211432,0.07932028,0.15622601,0.030112436,Less than 25,Male,Caucasian,F,1,0,1,25.184917,3.0141706,165.13089,24.059837,Less than 25,Male,Caucasian,F,1,0,1,27.133953332901,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.27612242,0.15619259,0.0023243618,0.094195224,25 - 45,Male,African-American,M,0,0,0,39.53755,5.9353185,2.4568505,75.261986,25 - 45,Male,African-American,M,0,0,0,27.133953332901,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.098007284,0.10886327,0.0018931368,0.05682197,25 - 45,Male,African-American,M,0,0,0,25.644567,4.136804,2.0010455,45.400753,25 - 45,Male,African-American,M,0,0,0,27.133953332901,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.08579681,0.12591049,6.539826e-07,0.06183058,25 - 45,Male,African-American,F,0,0,0,24.692152,4.784599,0.0006912596,49.402634,25 - 45,Male,African-American,F,0,0,0,27.133953332901,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,0.06843734,0.09519719,0.0057027303,0.025509872,Less than 25,Male,African-American,M,0,0,0,23.338112,3.6174934,6.027786,20.382387,Less than 25,Male,African-American,M,0,0,0,27.133953332901,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.066750556,0.032492388,0.0042961473,0.016776774,Less than 25,Male,African-American,M,1,0,1,23.206543,1.2347107,4.5410275,13.404642,Less than 25,Male,African-American,M,1,0,1,27.133953332901,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.11073681,0.1359133,2.6450916e-06,0.06377469,25 - 45,Male,African-American,F,0,0,0,26.63747,5.1647053,0.0027958618,50.95598,25 - 45,Male,African-American,F,0,0,0,27.133953332901,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.05677728,0.1461984,0.011062898,0.062814824,25 - 45,Male,Hispanic,F,1,0,1,22.428629,5.5555396,11.693483,50.189045,25 - 45,Male,Hispanic,F,1,0,1,27.133953332901,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.19960307,0.24642615,0.009254412,0.067846976,25 - 45,Female,African-American,M,0,0,0,33.56904,9.364194,9.781913,54.209736,25 - 45,Female,African-American,M,0,0,0,27.133953332901,Y,Y,Medium-Low,Medium-Low,High
