,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.108974345,0.22368422,0.01277203,0.008135395,25 - 45,Female,Other,F,0,0,0,26.5,8.5,13.500036,6.5001807,25 - 45,Female,Other,F,0,0,0,986.7130312919617,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.0512899,0.14473684,0.15893885,0.07759702,Less than 25,Male,Caucasian,F,1,0,1,22.000612,5.5,167.99837,62.00002,Less than 25,Male,Caucasian,F,1,0,1,986.7130312919617,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.33334196,0.22368422,0.000943445,0.002502332,25 - 45,Male,African-American,M,0,0,0,44.00067,8.5,0.9972214,1.9993633,25 - 45,Male,African-American,M,0,0,0,986.7130312919617,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.16025643,0.03947369,0.00060194643,0.07634544,25 - 45,Male,African-American,M,0,0,0,30.500002,1.5000002,0.6362574,61.000004,25 - 45,Male,African-American,M,0,0,0,986.7130312919617,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.12820512,0.039473698,0.0009109238,0.07634544,25 - 45,Male,African-American,F,0,0,0,27.999998,1.5000005,0.96284646,61.000004,25 - 45,Male,African-American,F,0,0,0,986.7130312919617,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,High,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,High,0.076923124,0.052631624,0.0004730369,0.003754647,Less than 25,Male,African-American,M,0,0,0,24.000004,2.0000017,0.5,2.999963,Less than 25,Male,African-American,M,0,0,0,986.7130312919617,N,N,Medium-Low,High,Medium-Low
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.0769228,3.022871e-08,0.0,0.0031289114,Less than 25,Male,African-American,M,1,0,1,23.999977,1.1486909e-06,0.0,2.5000002,Less than 25,Male,African-American,M,1,0,1,986.7130312919617,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.19230771,0.03947369,0.016083276,0.11076346,25 - 45,Male,African-American,F,0,0,0,33.0,1.5000002,17.000023,88.50001,25 - 45,Male,African-American,F,0,0,0,986.7130312919617,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.096153855,0.09210527,0.00025972992,0.0009810046,25 - 45,Male,Hispanic,F,1,0,1,25.5,3.5000002,0.27453452,0.78382266,25 - 45,Male,Hispanic,F,1,0,1,986.7130312919617,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.17307693,0.11842114,0.0037040021,0.00079672155,25 - 45,Female,African-American,M,0,0,0,31.5,4.5000033,3.9151301,0.6365805,25 - 45,Female,African-American,M,0,0,0,986.7130312919617,Y,Y,Medium-Low,Medium-Low,High
