,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.0030337751,0.22204201,0.0040298835,0.09984904,25 - 45,Female,Other,F,0,0,0,18.236635,8.437596,4.259587,79.77938,25 - 45,Female,Other,F,0,0,0,57.83727407455444,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.08220486,0.1107362,0.15785107,0.052374467,Less than 25,Male,Caucasian,F,1,0,1,24.41198,4.2079754,166.84859,41.8472,Less than 25,Male,Caucasian,F,1,0,1,57.83727407455444,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.19640854,0.21010558,0.006041116,0.10848358,25 - 45,Male,African-American,M,0,0,0,33.319866,7.984012,6.38546,86.67838,25 - 45,Male,African-American,M,0,0,0,57.83727407455444,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.04981909,0.13907234,0.0056599844,0.07223743,25 - 45,Male,African-American,M,0,0,0,21.88589,5.284749,5.9826035,57.71771,25 - 45,Male,African-American,M,0,0,0,57.83727407455444,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.06311966,0.1286803,0.0045779604,0.06512255,25 - 45,Male,African-American,F,0,0,0,22.923334,4.8898516,4.838904,52.03292,25 - 45,Male,African-American,F,0,0,0,57.83727407455444,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,0.046979215,0.10204756,0.0015954118,0.02905343,Less than 25,Male,African-American,M,0,0,0,21.664377,3.8778074,1.6863502,23.21369,Less than 25,Male,African-American,M,0,0,0,57.83727407455444,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.045761637,0.049635112,0.0019673167,0.02666347,Less than 25,Male,African-American,M,1,0,1,21.569407,1.8861343,2.0794537,21.304111,Less than 25,Male,African-American,M,1,0,1,57.83727407455444,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.088413276,0.14043206,0.003121813,0.073297456,25 - 45,Male,African-American,F,0,0,0,24.896236,5.336418,3.2997563,58.564667,25 - 45,Male,African-American,F,0,0,0,57.83727407455444,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.025685018,0.15486868,0.0037515934,0.05350413,25 - 45,Male,Hispanic,F,1,0,1,20.003431,5.88501,3.9654343,42.7498,25 - 45,Male,Hispanic,F,1,0,1,57.83727407455444,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.16486065,0.22923954,0.0037752523,0.061621066,25 - 45,Female,African-American,M,0,0,0,30.85913,8.7111025,3.9904416,49.235233,25 - 45,Female,African-American,M,0,0,0,57.83727407455444,Y,Y,Medium-Low,Medium-Low,High
0,0.11538461538461539,0.10526315789473684,0.000946073793755913,0.04130162703379224,25 - 45,Male,African-American,F,0,0,0,Medium-Low,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.087967224,0.14894526,0.002477639,0.0633685,25 - 45,Male,African-American,F,0,0,0,24.861444,5.6599197,2.6188643,50.63143,25 - 45,Male,African-American,F,0,0,0,57.83727407455444,N,N,High,Medium-Low,High
0,0.19230769230769232,0.02631578947368421,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,0.076698266,0.21293549,0.0071628983,0.09770973,25 - 45,Male,Hispanic,F,0,0,0,23.982464,8.091549,7.5711837,78.070076,25 - 45,Male,Hispanic,F,0,0,0,57.83727407455444,Y,Y,Medium-Low,Medium-Low,High
0,0.11538461538461539,0.10526315789473684,0.28382213812677387,0.0,25 - 45,Male,African-American,M,1,0,1,Medium-Low,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,Medium-Low,0.09413761,0.13948242,0.28471336,0.017867066,25 - 45,Male,African-American,M,1,0,1,25.342731,5.300332,300.94202,14.275785,25 - 45,Male,African-American,M,1,0,1,57.83727407455444,N,N,High,Medium-Low,High
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.024997288,0.17931315,0.002973647,0.06541137,25 - 45,Male,Caucasian,F,0,0,0,19.949787,6.8139,3.143145,52.263683,25 - 45,Male,Caucasian,F,0,0,0,57.83727407455444,Y,Y,Medium-Low,Medium-Low,High
