Dataset,Attack,Model,Metric,Value
breast_cancer,deepfool,lr,eval_L1,8.0252075
breast_cancer,deepfool,lr,eval_L2,1.7005435
breast_cancer,deepfool,lr,eval_Linf,0.5239938
breast_cancer,deepfool,lr,eval_Sparsity,0.03125
breast_cancer,deepfool,lr,eval_MAD,2.5070946
breast_cancer,deepfool,lr,eval_Mahalanobis,0.84267515
breast_cancer,deepfool,lr,eval_Perturbation_Sensitivity,3.1569147
breast_cancer,deepfool,lr,eval_Neighbour_Distance,0.79838645
breast_cancer,deepfool,svc,eval_L1,1.8211137
breast_cancer,deepfool,svc,eval_L2,0.3922785
breast_cancer,deepfool,svc,eval_Linf,0.14080998
breast_cancer,deepfool,svc,eval_Sparsity,0.0625
breast_cancer,deepfool,svc,eval_MAD,0.6209279
breast_cancer,deepfool,svc,eval_Mahalanobis,0.1540496
breast_cancer,deepfool,svc,eval_Perturbation_Sensitivity,6.506998
breast_cancer,deepfool,svc,eval_Neighbour_Distance,0.33653048
breast_cancer,deepfool,nn_2,eval_L1,6.816253
breast_cancer,deepfool,nn_2,eval_L2,1.5350353
breast_cancer,deepfool,nn_2,eval_Linf,0.56774753
breast_cancer,deepfool,nn_2,eval_Sparsity,0.15625
breast_cancer,deepfool,nn_2,eval_MAD,2.2670977
breast_cancer,deepfool,nn_2,eval_Mahalanobis,0.41712266
breast_cancer,deepfool,nn_2,eval_Perturbation_Sensitivity,3.221192
breast_cancer,deepfool,nn_2,eval_Neighbour_Distance,1.2585734
breast_cancer,carlini_l_2,lr,eval_L1,1.7555102
breast_cancer,carlini_l_2,lr,eval_L2,0.43698928
breast_cancer,carlini_l_2,lr,eval_Linf,0.18464658
breast_cancer,carlini_l_2,lr,eval_Sparsity,0.1875
breast_cancer,carlini_l_2,lr,eval_MAD,0.48864236
breast_cancer,carlini_l_2,lr,eval_Mahalanobis,0.207647
breast_cancer,carlini_l_2,lr,eval_Perturbation_Sensitivity,5.850454
breast_cancer,carlini_l_2,lr,eval_Neighbour_Distance,0.30095434
breast_cancer,carlini_l_2,svc,eval_L1,0.0071787327
breast_cancer,carlini_l_2,svc,eval_L2,0.0018375075
breast_cancer,carlini_l_2,svc,eval_Linf,0.0008718787
breast_cancer,carlini_l_2,svc,eval_Sparsity,0.296875
breast_cancer,carlini_l_2,svc,eval_MAD,0.0020409646
breast_cancer,carlini_l_2,svc,eval_Mahalanobis,0.0006369682
breast_cancer,carlini_l_2,svc,eval_Perturbation_Sensitivity,5.849039
breast_cancer,carlini_l_2,svc,eval_Neighbour_Distance,0.0018375075
breast_cancer,carlini_l_2,nn_2,eval_L1,1.0311617
breast_cancer,carlini_l_2,nn_2,eval_L2,0.27866998
breast_cancer,carlini_l_2,nn_2,eval_Linf,0.14991495
breast_cancer,carlini_l_2,nn_2,eval_Sparsity,0.1875
breast_cancer,carlini_l_2,nn_2,eval_MAD,0.31475505
breast_cancer,carlini_l_2,nn_2,eval_Mahalanobis,0.062191464
breast_cancer,carlini_l_2,nn_2,eval_Perturbation_Sensitivity,5.5203896
breast_cancer,carlini_l_2,nn_2,eval_Neighbour_Distance,0.26046878
breast_cancer,carlini_l_inf,lr,eval_L1,0.062007505
breast_cancer,carlini_l_inf,lr,eval_L2,0.011997523
breast_cancer,carlini_l_inf,lr,eval_Linf,0.0029624058
breast_cancer,carlini_l_inf,lr,eval_Sparsity,0.296875
breast_cancer,carlini_l_inf,lr,eval_MAD,0.019656623
breast_cancer,carlini_l_inf,lr,eval_Mahalanobis,0.005585455
breast_cancer,carlini_l_inf,lr,eval_Perturbation_Sensitivity,5.8715224
breast_cancer,carlini_l_inf,lr,eval_Neighbour_Distance,0.011997523
breast_cancer,carlini_l_inf,svc,eval_L1,0.079616286
breast_cancer,carlini_l_inf,svc,eval_L2,0.0154445665
breast_cancer,carlini_l_inf,svc,eval_Linf,0.0038852268
breast_cancer,carlini_l_inf,svc,eval_Sparsity,0.296875
breast_cancer,carlini_l_inf,svc,eval_MAD,0.025206627
breast_cancer,carlini_l_inf,svc,eval_Mahalanobis,0.005527149
breast_cancer,carlini_l_inf,svc,eval_Perturbation_Sensitivity,5.864446
breast_cancer,carlini_l_inf,svc,eval_Neighbour_Distance,0.0154445665
breast_cancer,carlini_l_inf,nn_2,eval_L1,0.12718995
breast_cancer,carlini_l_inf,nn_2,eval_L2,0.024922075
breast_cancer,carlini_l_inf,nn_2,eval_Linf,0.0065825954
breast_cancer,carlini_l_inf,nn_2,eval_Sparsity,0.296875
breast_cancer,carlini_l_inf,nn_2,eval_MAD,0.040341407
breast_cancer,carlini_l_inf,nn_2,eval_Mahalanobis,0.0034448593
breast_cancer,carlini_l_inf,nn_2,eval_Perturbation_Sensitivity,5.8412867
breast_cancer,carlini_l_inf,nn_2,eval_Neighbour_Distance,0.024922075
breast_cancer,lowprofool_l_2,lr,eval_L1,5.9439607
breast_cancer,lowprofool_l_2,lr,eval_L2,1.3016142
breast_cancer,lowprofool_l_2,lr,eval_Linf,0.4537273
breast_cancer,lowprofool_l_2,lr,eval_Sparsity,0.03125
breast_cancer,lowprofool_l_2,lr,eval_MAD,1.778137
breast_cancer,lowprofool_l_2,lr,eval_Mahalanobis,0.6693607
breast_cancer,lowprofool_l_2,lr,eval_Perturbation_Sensitivity,4.6033025
breast_cancer,lowprofool_l_2,lr,eval_Neighbour_Distance,0.4952347
breast_cancer,lowprofool_l_2,svc,eval_L1,4.3551884
breast_cancer,lowprofool_l_2,svc,eval_L2,0.9481445
breast_cancer,lowprofool_l_2,svc,eval_Linf,0.3485444
breast_cancer,lowprofool_l_2,svc,eval_Sparsity,0.0625
breast_cancer,lowprofool_l_2,svc,eval_MAD,1.4595977
breast_cancer,lowprofool_l_2,svc,eval_Mahalanobis,0.37888184
breast_cancer,lowprofool_l_2,svc,eval_Perturbation_Sensitivity,5.4292364
breast_cancer,lowprofool_l_2,svc,eval_Neighbour_Distance,0.6506618
breast_cancer,lowprofool_l_2,nn_2,eval_L1,7.319675
breast_cancer,lowprofool_l_2,nn_2,eval_L2,1.7114815
breast_cancer,lowprofool_l_2,nn_2,eval_Linf,0.7110063
breast_cancer,lowprofool_l_2,nn_2,eval_Sparsity,0.046875
breast_cancer,lowprofool_l_2,nn_2,eval_MAD,2.5337582
breast_cancer,lowprofool_l_2,nn_2,eval_Mahalanobis,0.46908268
breast_cancer,lowprofool_l_2,nn_2,eval_Perturbation_Sensitivity,3.243344
