Dataset,Attack,Model,Metric,Value
breast_cancer,deepfool,lr,pred_attack_success,1.0
breast_cancer,deepfool,lr,original_accuracy,0.984375
breast_cancer,deepfool,lr,robust_accuracy,0.015625
breast_cancer,deepfool,svc,pred_attack_success,1.0
breast_cancer,deepfool,svc,original_accuracy,0.984375
breast_cancer,deepfool,svc,robust_accuracy,0.015625
breast_cancer,deepfool,nn_2,pred_attack_success,1.0
breast_cancer,deepfool,nn_2,original_accuracy,0.96875
breast_cancer,deepfool,nn_2,robust_accuracy,0.03125
breast_cancer,carlini_l_2,lr,pred_attack_success,0.921875
breast_cancer,carlini_l_2,lr,original_accuracy,0.984375
breast_cancer,carlini_l_2,lr,robust_accuracy,0.09375
breast_cancer,carlini_l_2,svc,pred_attack_success,0.03125
breast_cancer,carlini_l_2,svc,original_accuracy,0.984375
breast_cancer,carlini_l_2,svc,robust_accuracy,0.953125
breast_cancer,carlini_l_2,nn_2,pred_attack_success,0.859375
breast_cancer,carlini_l_2,nn_2,original_accuracy,0.96875
breast_cancer,carlini_l_2,nn_2,robust_accuracy,0.171875
breast_cancer,carlini_l_inf,lr,pred_attack_success,0.125
breast_cancer,carlini_l_inf,lr,original_accuracy,0.984375
breast_cancer,carlini_l_inf,lr,robust_accuracy,0.890625
breast_cancer,carlini_l_inf,svc,pred_attack_success,0.140625
breast_cancer,carlini_l_inf,svc,original_accuracy,0.984375
breast_cancer,carlini_l_inf,svc,robust_accuracy,0.875
breast_cancer,carlini_l_inf,nn_2,pred_attack_success,0.234375
breast_cancer,carlini_l_inf,nn_2,original_accuracy,0.96875
breast_cancer,carlini_l_inf,nn_2,robust_accuracy,0.796875
breast_cancer,lowprofool_l_2,lr,pred_attack_success,1.0
breast_cancer,lowprofool_l_2,lr,original_accuracy,0.984375
breast_cancer,lowprofool_l_2,lr,robust_accuracy,0.015625
breast_cancer,lowprofool_l_2,svc,pred_attack_success,1.0
breast_cancer,lowprofool_l_2,svc,original_accuracy,0.984375
breast_cancer,lowprofool_l_2,svc,robust_accuracy,0.015625
breast_cancer,lowprofool_l_2,nn_2,pred_attack_success,1.0
breast_cancer,lowprofool_l_2,nn_2,original_accuracy,0.96875
breast_cancer,lowprofool_l_2,nn_2,robust_accuracy,0.03125
breast_cancer,lowprofool_l_inf,lr,pred_attack_success,1.0
breast_cancer,lowprofool_l_inf,lr,original_accuracy,0.984375
breast_cancer,lowprofool_l_inf,lr,robust_accuracy,0.015625
breast_cancer,lowprofool_l_inf,svc,pred_attack_success,1.0
breast_cancer,lowprofool_l_inf,svc,original_accuracy,0.984375
breast_cancer,lowprofool_l_inf,svc,robust_accuracy,0.015625
breast_cancer,lowprofool_l_inf,nn_2,pred_attack_success,1.0
breast_cancer,lowprofool_l_inf,nn_2,original_accuracy,0.96875
breast_cancer,lowprofool_l_inf,nn_2,robust_accuracy,0.03125
