,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.58104265,5.066395e-07,5.066395e-07,0.23112491,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,59.416115,0.05066344,0.0022069216,23.65024,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,2.7912938594818115,Y,Y,<=50K,<=50K,>50K
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.6885443,5.066395e-07,5.066395e-07,0.22708249,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,67.26373,0.05066344,0.0022069216,23.254084,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,2.7912938594818115,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.9999999,0.77320856,1.5795231e-06,0.9999999,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,89.999985,77320.086,0.0068804026,98.999985,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,2.7912938594818115,Y,Y,<=50K,<=50K,>50K
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.26737016,5.066395e-07,5.066395e-07,0.032778293,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,36.51802,0.05066344,0.0022069216,4.2122726,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,2.7912938594818115,Y,Y,>50K,>50K,<=50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.5872934,5.066395e-07,5.066395e-07,0.95996535,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,59.872417,0.05066344,0.0022069216,95.07661,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,2.7912938594818115,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,1.0,0.99927795,1.937151e-06,1.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,89.99999,99926.8,0.00843823,99.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,2.7912938594818115,Y,Y,<=50K,<=50K,>50K
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.148359,5.066395e-07,5.066395e-07,0.2104271,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,27.830208,0.05066344,0.0022069216,21.621857,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,2.7912938594818115,Y,Y,>50K,>50K,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.42588606,5.066395e-07,5.066395e-07,0.78166217,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,48.08968,0.05066344,0.0022069216,77.60289,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,2.7912938594818115,Y,Y,<=50K,<=50K,>50K
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,1.0,0.98997617,1.7881393e-06,1.0,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,89.99999,98996.625,0.007789135,99.0,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,2.7912938594818115,Y,Y,<=50K,<=50K,>50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,0.40188694,5.066395e-07,5.066395e-07,0.7063023,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,46.337746,0.05066344,0.0022069216,70.21762,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,2.7912938594818115,Y,Y,<=50K,<=50K,>50K
