,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.0048575103,0.3340345,5.066395e-07,5.066395e-07,25 - 45,Female,Other,F,0,0,0,18.378885,12.693311,0.00053551793,0.00040480494,25 - 45,Female,Other,F,0,0,0,2.6655282974243164,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.073755264,0.08834076,0.15571776,0.058360755,Less than 25,Male,Caucasian,F,1,0,1,23.752909,3.3569489,164.59367,46.630245,Less than 25,Male,Caucasian,F,1,0,1,2.6655282974243164,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,3.874302e-05,5.066395e-07,0.00113675,0.45244914,25 - 45,Male,African-American,M,0,0,0,18.003021,1.92523e-05,1.2015448,361.50687,25 - 45,Male,African-American,M,0,0,0,2.6655282974243164,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,8.940697e-08,1.0,6.2584877e-07,2.0772219e-05,25 - 45,Male,African-American,M,0,0,0,18.000008,38.0,0.00066152215,0.016597003,25 - 45,Male,African-American,M,0,0,0,2.6655282974243164,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,8.940697e-08,1.0,6.556511e-07,5.492568e-05,25 - 45,Male,African-American,F,0,0,0,18.000008,38.0,0.0006930232,0.04388562,25 - 45,Male,African-American,F,0,0,0,2.6655282974243164,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,0.04738629,0.11912793,0.0009474158,0.0038801134,Less than 25,Male,African-American,M,0,0,0,21.696129,4.526861,1.0014186,3.1002107,Less than 25,Male,African-American,M,0,0,0,2.6655282974243164,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.0018883646,5.066395e-07,5.066395e-07,0.05679515,Less than 25,Male,African-American,M,1,0,1,18.147293,1.92523e-05,0.00053551793,45.379326,Less than 25,Male,African-American,M,1,0,1,2.6655282974243164,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,6.854534e-07,7.4505806e-07,5.066395e-07,0.4860302,25 - 45,Male,African-American,F,0,0,0,18.000053,2.8312206e-05,0.00053551793,388.33813,25 - 45,Male,African-American,F,0,0,0,2.6655282974243164,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.026082724,0.19869882,0.0009509027,5.066395e-07,25 - 45,Male,Hispanic,F,1,0,1,20.03445,7.550555,1.0051042,0.00040480494,25 - 45,Male,Hispanic,F,1,0,1,2.6655282974243164,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.12226713,0.30004632,0.0009471178,5.066395e-07,25 - 45,Female,African-American,M,0,0,0,27.536835,11.40176,1.0011035,0.00040480494,25 - 45,Female,African-American,M,0,0,0,2.6655282974243164,Y,Y,Medium-Low,Medium-Low,High
