Dataset,Attack,Model,Metric,Value
compas,deepfool,lr,eval_L1,0.68748766
compas,deepfool,lr,eval_L2,0.41082522
compas,deepfool,lr,eval_Linf,0.32571372
compas,deepfool,lr,eval_MAD,2.75612
compas,deepfool,lr,eval_Mahalanobis,0.051259123
compas,deepfool,lr,eval_Sparsity,3.9382102
compas,deepfool,lr,eval_Perturbation_Sensitivity,4.0863338
compas,deepfool,lr,eval_Neighbour_Distance,0.2678909
compas,deepfool,svc,eval_L1,0.39096084
compas,deepfool,svc,eval_L2,0.23598038
compas,deepfool,svc,eval_Linf,0.18330482
compas,deepfool,svc,eval_MAD,1.4668541
compas,deepfool,svc,eval_Mahalanobis,0.029037522
compas,deepfool,svc,eval_Sparsity,3.9360795
compas,deepfool,svc,eval_Perturbation_Sensitivity,8.15766
compas,deepfool,svc,eval_Neighbour_Distance,0.11780957
compas,deepfool,nn_2,eval_L1,0.86616033
compas,deepfool,nn_2,eval_L2,0.4636512
compas,deepfool,nn_2,eval_Linf,0.3198493
compas,deepfool,nn_2,eval_MAD,3.2880208
compas,deepfool,nn_2,eval_Mahalanobis,0.08558772
compas,deepfool,nn_2,eval_Sparsity,3.9928977
compas,deepfool,nn_2,eval_Perturbation_Sensitivity,3.6961706
compas,deepfool,nn_2,eval_Neighbour_Distance,0.2946748
compas,carlini_l_2,lr,eval_L1,0.3211305
compas,carlini_l_2,lr,eval_L2,0.24258478
compas,carlini_l_2,lr,eval_Linf,0.21469924
compas,carlini_l_2,lr,eval_MAD,1.2389995
compas,carlini_l_2,lr,eval_Mahalanobis,0.026964251
compas,carlini_l_2,lr,eval_Sparsity,3.8039773
compas,carlini_l_2,lr,eval_Perturbation_Sensitivity,5.708537
compas,carlini_l_2,lr,eval_Neighbour_Distance,0.13915186
compas,carlini_l_2,svc,eval_L1,0.002432896
compas,carlini_l_2,svc,eval_L2,0.0017435866
compas,carlini_l_2,svc,eval_Linf,0.001467236
compas,carlini_l_2,svc,eval_MAD,0.0066313413
compas,carlini_l_2,svc,eval_Mahalanobis,0.00021983849
compas,carlini_l_2,svc,eval_Sparsity,3.200284
compas,carlini_l_2,svc,eval_Perturbation_Sensitivity,7.422741
compas,carlini_l_2,svc,eval_Neighbour_Distance,0.0013410634
compas,carlini_l_2,nn_2,eval_L1,0.32971326
compas,carlini_l_2,nn_2,eval_L2,0.24592008
compas,carlini_l_2,nn_2,eval_Linf,0.21366097
compas,carlini_l_2,nn_2,eval_MAD,1.2779509
compas,carlini_l_2,nn_2,eval_Mahalanobis,0.027705593
compas,carlini_l_2,nn_2,eval_Sparsity,3.8110795
compas,carlini_l_2,nn_2,eval_Perturbation_Sensitivity,5.4770103
compas,carlini_l_2,nn_2,eval_Neighbour_Distance,0.14605525
compas,carlini_l_inf,lr,eval_L1,0.0033196881
compas,carlini_l_inf,lr,eval_L2,0.0021325103
compas,carlini_l_inf,lr,eval_Linf,0.0015976062
compas,carlini_l_inf,lr,eval_MAD,0.01151953
compas,carlini_l_inf,lr,eval_Mahalanobis,0.00026652237
compas,carlini_l_inf,lr,eval_Sparsity,3.2201705
compas,carlini_l_inf,lr,eval_Perturbation_Sensitivity,7.421355
compas,carlini_l_inf,lr,eval_Neighbour_Distance,0.0017599171
compas,carlini_l_inf,svc,eval_L1,0.0033067798
compas,carlini_l_inf,svc,eval_L2,0.0021441942
compas,carlini_l_inf,svc,eval_Linf,0.001608149
compas,carlini_l_inf,svc,eval_MAD,0.011234452
compas,carlini_l_inf,svc,eval_Mahalanobis,0.0002667058
compas,carlini_l_inf,svc,eval_Sparsity,3.2130682
compas,carlini_l_inf,svc,eval_Perturbation_Sensitivity,7.420244
compas,carlini_l_inf,svc,eval_Neighbour_Distance,0.0016506285
compas,carlini_l_inf,nn_2,eval_L1,0.0031132582
compas,carlini_l_inf,nn_2,eval_L2,0.002012208
compas,carlini_l_inf,nn_2,eval_Linf,0.0014994275
compas,carlini_l_inf,nn_2,eval_MAD,0.010231343
compas,carlini_l_inf,nn_2,eval_Mahalanobis,0.00025447964
compas,carlini_l_inf,nn_2,eval_Sparsity,3.2102273
compas,carlini_l_inf,nn_2,eval_Perturbation_Sensitivity,7.423872
compas,carlini_l_inf,nn_2,eval_Neighbour_Distance,0.0016793925
