Dataset,Attack,Model,Metric,Value
compas,deepfool,lr,pred_attack_success,0.9985795454545454
compas,deepfool,lr,groundtruth_attack_success,0.7933238636363636
compas,deepfool,lr,original_accuracy,0.7933238636363636
compas,deepfool,lr,robust_accuracy,0.20667613636363635
compas,deepfool,svc,pred_attack_success,1.0
compas,deepfool,svc,groundtruth_attack_success,0.7975852272727273
compas,deepfool,svc,original_accuracy,0.7975852272727273
compas,deepfool,svc,robust_accuracy,0.20241477272727273
compas,deepfool,nn_2,pred_attack_success,0.9829545454545454
compas,deepfool,nn_2,groundtruth_attack_success,0.8046875
compas,deepfool,nn_2,original_accuracy,0.8089488636363636
compas,deepfool,nn_2,robust_accuracy,0.1953125
compas,carlini_l_2,lr,pred_attack_success,0.6839488636363636
compas,carlini_l_2,lr,groundtruth_attack_success,0.890625
compas,carlini_l_2,lr,original_accuracy,0.7933238636363636
compas,carlini_l_2,lr,robust_accuracy,0.109375
compas,carlini_l_2,svc,pred_attack_success,0.032670454545454544
compas,carlini_l_2,svc,groundtruth_attack_success,0.23508522727272727
compas,carlini_l_2,svc,original_accuracy,0.7975852272727273
compas,carlini_l_2,svc,robust_accuracy,0.7649147727272727
compas,carlini_l_2,nn_2,pred_attack_success,0.7102272727272727
compas,carlini_l_2,nn_2,groundtruth_attack_success,0.9012784090909091
compas,carlini_l_2,nn_2,original_accuracy,0.8089488636363636
compas,carlini_l_2,nn_2,robust_accuracy,0.09872159090909091
compas,carlini_l_inf,lr,pred_attack_success,0.04616477272727273
compas,carlini_l_inf,lr,groundtruth_attack_success,0.2528409090909091
compas,carlini_l_inf,lr,original_accuracy,0.7933238636363636
compas,carlini_l_inf,lr,robust_accuracy,0.7471590909090909
compas,carlini_l_inf,svc,pred_attack_success,0.05397727272727273
compas,carlini_l_inf,svc,groundtruth_attack_success,0.25639204545454547
compas,carlini_l_inf,svc,original_accuracy,0.7975852272727273
compas,carlini_l_inf,svc,robust_accuracy,0.7436079545454546
compas,carlini_l_inf,nn_2,pred_attack_success,0.05752840909090909
compas,carlini_l_inf,nn_2,groundtruth_attack_success,0.24857954545454544
compas,carlini_l_inf,nn_2,original_accuracy,0.8089488636363636
compas,carlini_l_inf,nn_2,robust_accuracy,0.7514204545454546
