,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_ae_age,scaled_ae_capital-gain,scaled_ae_capital-loss,scaled_ae_hours-per-week,scaled_ae_workclass,scaled_ae_education,scaled_ae_marital-status,scaled_ae_occupation,scaled_ae_relationship,scaled_ae_race,scaled_ae_sex,scaled_ae_native-country,origin_ae_age,origin_ae_capital-gain,origin_ae_capital-loss,origin_ae_hours-per-week,origin_ae_workclass,origin_ae_education,origin_ae_marital-status,origin_ae_occupation,origin_ae_relationship,origin_ae_race,origin_ae_sex,origin_ae_native-country,running_time,Success?,ground_truth,prediction
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.5231388,0.04760074,0.0048583066,0.14807692,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,55.189133,4760.0264,21.162783,15.511538,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.66012514,0.04760074,0.0048583066,0.19909732,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,65.18913,4760.0264,21.162783,20.511538,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.17215621,0.14280222,0.01457492,0.41361856,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,29.567404,14280.079,63.48835,41.53462,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,0.026558637619018555,N,<=50K,<=50K
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.45687854,0.0,0.0,0.3248821,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,50.352135,0.0,0.0,32.838444,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0.026558637619018555,N,>50K,>50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.21066122,0.09520148,0.009716613,0.40839875,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,32.37827,9520.053,42.325565,41.023075,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.29544383,0.14280222,0.01457492,0.49525124,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,38.5674,14280.079,63.48835,49.534622,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.18993416,0.0,0.0,0.39725268,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,30.865194,0.0,0.0,39.930763,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0.026558637619018555,N,>50K,>50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.2517571,0.09520148,0.009716613,0.40839875,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,35.37827,9520.053,42.325565,41.023075,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.48722464,0.14280222,0.01457492,0.5156593,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,52.567398,14280.079,63.48835,51.534607,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,0.26286483,0.04760074,0.0048583066,0.40317896,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,36.189133,4760.0264,21.162783,40.51154,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
