Dataset,Attack,Model,Metric,Value
adult,deepfool,lr,eval_L1,1.4389104
adult,deepfool,lr,eval_L2,0.63551676
adult,deepfool,lr,eval_Linf,0.41891786
adult,deepfool,lr,eval_Sparsity,8.050279
adult,deepfool,lr,eval_MAD,7.112114
adult,deepfool,lr,eval_Mahalanobis,0.12744354
adult,deepfool,lr,eval_Neighbour_Distance,0.5443894
adult,deepfool,svc,eval_L1,0.13907464
adult,deepfool,svc,eval_L2,0.11081838
adult,deepfool,svc,eval_Linf,0.10863635
adult,deepfool,svc,eval_Sparsity,8.305384
adult,deepfool,svc,eval_MAD,1.4587445
adult,deepfool,svc,eval_Mahalanobis,0.008880699
adult,deepfool,svc,eval_Neighbour_Distance,0.09890491
adult,deepfool,nn_2,eval_L1,3.1592584
adult,deepfool,nn_2,eval_L2,0.96274984
adult,deepfool,nn_2,eval_Linf,0.4153762
adult,deepfool,nn_2,eval_Sparsity,7.2566524
adult,deepfool,nn_2,eval_MAD,7.568248
adult,deepfool,nn_2,eval_Mahalanobis,0.2860526
adult,deepfool,nn_2,eval_Neighbour_Distance,0.76768464
