,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_ae_age,scaled_ae_priors_count,scaled_ae_days_b_screening_arrest,scaled_ae_length_of_stay,scaled_ae_age_cat,scaled_ae_sex,scaled_ae_race,scaled_ae_c_charge_degree,scaled_ae_is_recid,scaled_ae_is_violent_recid,scaled_ae_two_year_recid,origin_ae_age,origin_ae_priors_count,origin_ae_days_b_screening_arrest,origin_ae_length_of_stay,origin_ae_age_cat,origin_ae_sex,origin_ae_race,origin_ae_c_charge_degree,origin_ae_is_recid,origin_ae_is_violent_recid,origin_ae_two_year_recid,running_time,Success?,ground_truth,prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.0,0.7028579,0.031291556,0.29247087,25 - 45,Female,Other,F,0,0,0,18.0,26.708601,33.075172,233.68423,25 - 45,Female,Other,F,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.085661545,0.09882745,0.15620841,0.052062064,Less than 25,Male,Caucasian,F,1,0,1,24.6816,3.755443,165.11229,41.597588,Less than 25,Male,Caucasian,F,1,0,1,0.5385105609893799,N,High,High
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.0,0.5997224,0.028684549,0.26176465,25 - 45,Male,African-American,M,0,0,0,18.0,22.789452,30.319569,209.14995,25 - 45,Male,African-American,M,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.0,0.2613866,0.012089704,0.112998106,25 - 45,Male,African-American,M,0,0,0,18.0,9.932691,12.778817,90.285484,25 - 45,Male,African-American,M,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.022638433,0.20340061,0.009407724,0.087930605,25 - 45,Male,African-American,F,0,0,0,19.765797,7.7292233,9.943965,70.25655,25 - 45,Male,African-American,F,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,0.045515873,0.10659218,0.0034418697,0.027082,Less than 25,Male,African-American,M,0,0,0,21.55024,4.050503,3.6380563,21.638517,Less than 25,Male,African-American,M,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.050970733,0.04458862,0.0020623214,0.020527342,Less than 25,Male,African-American,M,1,0,1,21.975716,1.6943676,2.1798737,16.401346,Less than 25,Male,African-American,M,1,0,1,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.038973317,0.2414163,0.011166033,0.10561645,25 - 45,Male,African-American,F,0,0,0,21.039919,9.17382,11.802497,84.38754,25 - 45,Male,African-American,F,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.00038327277,0.2061612,0.008047156,0.06637125,25 - 45,Male,Hispanic,F,1,0,1,18.029896,7.8341255,8.505844,53.03063,25 - 45,Male,Hispanic,F,1,0,1,0.5385105609893799,N,Medium-Low,Medium-Low
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.1233481,0.31184983,0.010501161,0.08930796,25 - 45,Female,African-American,M,0,0,0,27.621153,11.850294,11.099728,71.357056,25 - 45,Female,African-American,M,0,0,0,0.5385105609893799,N,Medium-Low,Medium-Low
