,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_ae_age,scaled_ae_priors_count,scaled_ae_days_b_screening_arrest,scaled_ae_length_of_stay,scaled_ae_age_cat,scaled_ae_sex,scaled_ae_race,scaled_ae_c_charge_degree,scaled_ae_is_recid,scaled_ae_is_violent_recid,scaled_ae_two_year_recid,origin_ae_age,origin_ae_priors_count,origin_ae_days_b_screening_arrest,origin_ae_length_of_stay,origin_ae_age_cat,origin_ae_sex,origin_ae_race,origin_ae_c_charge_degree,origin_ae_is_recid,origin_ae_is_violent_recid,origin_ae_two_year_recid,running_time,Success?,ground_truth,prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.0,1.0,0.07324114,1.0,25 - 45,Female,Other,F,0,0,0,18.0,38.0,77.41588,799.0,25 - 45,Female,Other,F,0,0,0,0.4756779670715332,N,Medium-Low,Medium-Low
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.0936583,0.08525883,0.14952119,0.015445381,Less than 25,Male,Caucasian,F,1,0,1,25.305346,3.2398355,158.0439,12.340859,Less than 25,Male,Caucasian,F,1,0,1,0.4756779670715332,N,High,High
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.0955288,0.54824346,0.045584884,0.30876696,25 - 45,Male,African-American,M,0,0,0,25.451246,20.833252,48.183224,246.7048,25 - 45,Male,African-American,M,0,0,0,0.4756779670715332,N,Medium-Low,Medium-Low
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.024169475,0.2694046,0.021935327,0.15049677,25 - 45,Male,African-American,M,0,0,0,19.885218,10.237374,23.18564,120.24692,25 - 45,Male,African-American,M,0,0,0,0.4756779670715332,N,Medium-Low,Medium-Low
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.014303595,0.31263623,0.034326058,0.14994258,25 - 45,Male,African-American,F,0,0,0,19.11568,11.880177,36.282642,119.804115,25 - 45,Male,African-American,F,0,0,0,0.4756779670715332,N,Medium-Low,Medium-Low
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,0.06833564,0.09553729,0.003910147,0.025394803,Less than 25,Male,African-American,M,0,0,0,23.33018,3.630417,4.1330256,20.290447,Less than 25,Male,African-American,M,0,0,0,0.4756779670715332,N,Medium-Low,Medium-Low
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.062548056,0.04160923,0.0064278073,0.024136987,Less than 25,Male,African-American,M,1,0,1,22.878748,1.5811508,6.7941923,19.285452,Less than 25,Male,African-American,M,1,0,1,0.4756779670715332,N,Medium-Low,Medium-Low
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.09600739,0.2347283,0.024033807,0.110966615,25 - 45,Male,African-American,F,0,0,0,25.488577,8.919676,25.403734,88.66232,25 - 45,Male,African-American,F,0,0,0,0.4756779670715332,N,Medium-Low,Medium-Low
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.0,0.27062,0.029185701,0.13451472,25 - 45,Male,Hispanic,F,1,0,1,18.0,10.28356,30.849287,107.477264,25 - 45,Male,Hispanic,F,1,0,1,0.4756779670715332,N,Medium-Low,Medium-Low
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.14554527,0.37424105,0.008664873,0.14073044,25 - 45,Female,African-American,M,0,0,0,29.35253,14.22116,9.1587715,112.44362,25 - 45,Female,African-American,M,0,0,0,0.4756779670715332,N,Medium-Low,Medium-Low
