,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.0016608238,0.22569937,0.00508923,0.10328337,25 - 45,Female,Other,F,0,0,0,18.129545,8.576576,5.379316,82.523415,25 - 45,Female,Other,F,0,0,0,0.004967451095581055,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.11455421,0.058202945,0.1563958,0.025955316,Less than 25,Male,Caucasian,F,1,0,1,26.935228,2.211712,165.31035,20.738297,Less than 25,Male,Caucasian,F,1,0,1,0.004967451095581055,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.14351687,0.29907537,0.008579919,0.15742819,25 - 45,Male,African-American,M,0,0,0,29.194315,11.364864,9.0689745,125.785126,25 - 45,Male,African-American,M,0,0,0,0.004967451095581055,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.014481336,0.19938357,0.00508923,0.10328337,25 - 45,Male,African-American,M,0,0,0,19.129545,7.5765758,5.379316,82.523415,25 - 45,Male,African-American,M,0,0,0,0.004967451095581055,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.014481336,0.19938357,0.00508923,0.10328337,25 - 45,Male,African-American,F,0,0,0,19.129545,7.5765758,5.379316,82.523415,25 - 45,Male,African-American,F,0,0,0,0.004967451095581055,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,0.013650924,0.15232337,0.0034906887,0.055396378,Less than 25,Male,African-American,M,0,0,0,19.064772,5.788288,3.689658,44.261707,Less than 25,Male,African-American,M,0,0,0,0.004967451095581055,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.013650924,0.099691786,0.002544615,0.05289325,Less than 25,Male,African-American,M,1,0,1,19.064772,3.7882879,2.689658,42.261707,Less than 25,Male,African-American,M,1,0,1,0.004967451095581055,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.052942872,0.19938357,0.00508923,0.10453494,25 - 45,Male,African-American,F,0,0,0,22.129543,7.5765758,5.379316,83.523415,25 - 45,Male,African-American,F,0,0,0,0.004967451095581055,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.0,0.25201514,0.0060353037,0.10328337,25 - 45,Male,Hispanic,F,1,0,1,18.0,9.576575,6.379316,82.523415,25 - 45,Male,Hispanic,F,1,0,1,0.004967451095581055,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.11704542,0.30464673,0.0060353037,0.10328337,25 - 45,Female,African-American,M,0,0,0,27.129543,11.576576,6.379316,82.523415,25 - 45,Female,African-American,M,0,0,0,0.004967451095581055,Y,Y,Medium-Low,Medium-Low,High
