,scaled_input_duration_in_month,scaled_input_credit_amount,scaled_input_installment_as_income_perc,scaled_input_present_res_since,scaled_input_age,scaled_input_account_check_status,scaled_input_credit_history,scaled_input_purpose,scaled_input_savings,scaled_input_present_emp_since,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_property,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_credits_this_bank,scaled_input_job,scaled_input_people_under_maintenance,scaled_input_telephone,scaled_input_foreign_worker,scaled_input_default,origin_input_duration_in_month,origin_input_credit_amount,origin_input_installment_as_income_perc,origin_input_present_res_since,origin_input_age,origin_input_account_check_status,origin_input_credit_history,origin_input_purpose,origin_input_savings,origin_input_present_emp_since,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_property,origin_input_other_installment_plans,origin_input_housing,origin_input_credits_this_bank,origin_input_job,origin_input_people_under_maintenance,origin_input_telephone,origin_input_foreign_worker,origin_input_default,scaled_ae_duration_in_month,scaled_ae_credit_amount,scaled_ae_installment_as_income_perc,scaled_ae_present_res_since,scaled_ae_age,scaled_ae_account_check_status,scaled_ae_credit_history,scaled_ae_purpose,scaled_ae_savings,scaled_ae_present_emp_since,scaled_ae_personal_status_sex,scaled_ae_other_debtors,scaled_ae_property,scaled_ae_other_installment_plans,scaled_ae_housing,scaled_ae_credits_this_bank,scaled_ae_job,scaled_ae_people_under_maintenance,scaled_ae_telephone,scaled_ae_foreign_worker,origin_ae_duration_in_month,origin_ae_credit_amount,origin_ae_installment_as_income_perc,origin_ae_present_res_since,origin_ae_age,origin_ae_account_check_status,origin_ae_credit_history,origin_ae_purpose,origin_ae_savings,origin_ae_present_emp_since,origin_ae_personal_status_sex,origin_ae_other_debtors,origin_ae_property,origin_ae_other_installment_plans,origin_ae_housing,origin_ae_credits_this_bank,origin_ae_job,origin_ae_people_under_maintenance,origin_ae_telephone,origin_ae_foreign_worker,running_time,Success?,ground_truth,prediction
0,0.47058823529411764,0.36519203257400684,1.0,0.6666666666666667,0.17857142857142855,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,36.0,6887.0,4.0,3.0,28.999999999999996,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,0.19788185,0.0,0.5065216,0.0,0.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,co-applicant,real estate,stores,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,17.455965,250.0,2.5195646,1.0,19.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,co-applicant,real estate,stores,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,3.0020437240600586,N,Y,Y
0,0.1176470588235294,0.035875426433366345,1.0,1.0,0.035714285714285754,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,1,skilled employee / official,1,none,yes,N,11.999999999999998,902.0,4.0,4.0,21.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,1,skilled employee / official,1,none,yes,N,0.23513189,0.09838551,0.9926725,0.95395726,0.040082157,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,1,skilled employee / official,1,none,yes,19.988968,2038.0583,3.9780173,3.8618717,21.2446,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,1,skilled employee / official,1,none,yes,3.0020437240600586,Y,Y,N
0,0.2941176470588235,0.11461428414218112,1.0,0.3333333333333333,0.17857142857142855,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,unskilled - resident,1,none,yes,N,23.999999999999996,2333.0,4.0,2.0,28.999999999999996,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,unskilled - resident,1,none,yes,N,0.34453842,0.14378238,1.0,0.3191252,0.16711603,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,unskilled - resident,1,none,yes,27.428612,2863.101,4.0,1.9573756,28.358496,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,unskilled - resident,1,none,yes,3.0020437240600586,N,N,N
0,0.20588235294117646,0.09843732805106195,0.0,1.0,0.01785714285714285,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,1,skilled employee / official,1,none,yes,Y,18.0,2039.0,1.0,4.0,20.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,1,skilled employee / official,1,none,yes,Y,0.0,0.0,0.0,0.9452731,0.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,1,skilled employee / official,1,none,yes,4.0,250.0,1.0,3.8358192,19.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,1,skilled employee / official,1,none,yes,3.0020437240600586,N,Y,Y
0,0.16176470588235292,0.1363486299108617,1.0,0.3333333333333333,0.28571428571428575,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,N,15.0,2728.0,4.0,2.0,35.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.6255717,0.2102178,0.9925268,0.075475514,0.12675135,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,46.538876,4070.4983,3.9775805,1.2264266,26.098076,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,3.0020437240600586,N,N,N
0,0.16176470588235292,0.06569825024760646,1.0,0.0,0.07142857142857145,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,1,skilled employee / official,1,none,yes,N,15.0,1444.0,4.0,1.0,23.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,1,skilled employee / official,1,none,yes,N,0.26999342,0.10034719,0.9955309,0.0,0.05140804,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,1,skilled employee / official,1,none,yes,22.359552,2073.71,3.9865928,1.0,21.87885,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,1,skilled employee / official,1,none,yes,3.0020437240600586,N,N,N
0,0.47058823529411764,0.23236491691427316,1.0,0.3333333333333333,0.21428571428571425,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,skilled employee / official,1,none,yes,N,36.0,4473.0,4.0,2.0,30.999999999999996,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,skilled employee / official,1,none,yes,N,0.57329327,0.27153894,0.9895393,0.2932589,0.2005565,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,skilled employee / official,1,none,yes,42.98394,5184.9487,3.968618,1.8797767,30.231163,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,skilled employee / official,1,none,yes,3.0020437240600586,N,N,N
0,0.16176470588235292,0.08093980411576977,0.3333333333333333,0.6666666666666667,0.30357142857142855,< 0 DM,existing credits paid back duly till now,car (new),... < 100 DM,... < 1 year ,male : single,none,real estate,none,own,1,skilled employee / official,1,none,yes,Y,15.0,1721.0,2.0,3.0,36.0,< 0 DM,existing credits paid back duly till now,car (new),... < 100 DM,... < 1 year ,male : single,none,real estate,none,own,1,skilled employee / official,1,none,yes,Y,0.0,0.0,0.044733316,0.25690335,0.0,< 0 DM,existing credits paid back duly till now,car (new),... < 100 DM,... < 1 year ,male : single,none,real estate,none,own,1,skilled employee / official,1,none,yes,4.0,250.0,1.1342,1.77071,19.0,< 0 DM,existing credits paid back duly till now,car (new),... < 100 DM,... < 1 year ,male : single,none,real estate,none,own,1,skilled employee / official,1,none,yes,3.0020437240600586,Y,N,Y
0,0.2941176470588235,0.36436667767139874,0.3333333333333333,0.0,0.6428571428571428,< 0 DM,all credits at this bank paid back duly,radio/television,... < 100 DM,... < 1 year ,male : divorced/separated,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,23.999999999999996,6872.000000000001,2.0,1.0,54.99999999999999,< 0 DM,all credits at this bank paid back duly,radio/television,... < 100 DM,... < 1 year ,male : divorced/separated,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,0.099602506,0.0,0.09492533,0.0,0.07367039,< 0 DM,all credits at this bank paid back duly,education,... < 100 DM,... < 1 year ,male : divorced/separated,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,10.77297,250.0,1.284776,1.0,23.125542,< 0 DM,all credits at this bank paid back duly,education,... < 100 DM,... < 1 year ,male : divorced/separated,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,3.0020437240600586,N,Y,Y
0,0.16176470588235292,0.0675690546935182,1.0,1.0,0.44642857142857145,< 0 DM,critical account/ other credits existing (not at this bank),radio/television,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,N,15.0,1478.0,4.0,4.0,44.0,< 0 DM,critical account/ other credits existing (not at this bank),radio/television,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,N,0.30928153,0.12170773,1.0,0.953555,0.42786932,< 0 DM,critical account/ other credits existing (not at this bank),radio/television,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,25.031143,2461.9163,4.0,3.860665,42.960682,< 0 DM,critical account/ other credits existing (not at this bank),radio/television,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,3.0020437240600586,N,N,N
