Dataset,Attack,Model,Metric,Value
diabetes,deepfool,lr,eval_L1,0.5726649
diabetes,deepfool,lr,eval_L2,0.27191386
diabetes,deepfool,lr,eval_Linf,0.19375816
diabetes,deepfool,lr,eval_Sparsity,0.5625
diabetes,deepfool,lr,eval_MAD,0.62376314
diabetes,deepfool,lr,eval_Mahalanobis,0.050007753
diabetes,deepfool,lr,eval_Perturbation_Sensitivity,3.7474003
diabetes,deepfool,lr,eval_Neighbour_Distance,0.16966322
diabetes,deepfool,svc,eval_L1,0.48181152
diabetes,deepfool,svc,eval_L2,0.23050341
diabetes,deepfool,svc,eval_Linf,0.15919764
diabetes,deepfool,svc,eval_Sparsity,0.5390625
diabetes,deepfool,svc,eval_MAD,0.54309994
diabetes,deepfool,svc,eval_Mahalanobis,0.038427193
diabetes,deepfool,svc,eval_Perturbation_Sensitivity,3.9777606
diabetes,deepfool,svc,eval_Neighbour_Distance,0.17384747
diabetes,deepfool,nn_2,eval_L1,0.7204505
diabetes,deepfool,nn_2,eval_L2,0.29117188
diabetes,deepfool,nn_2,eval_Linf,0.17011602
diabetes,deepfool,nn_2,eval_Sparsity,0.4609375
diabetes,deepfool,nn_2,eval_MAD,0.75698733
diabetes,deepfool,nn_2,eval_Mahalanobis,0.05597868
diabetes,deepfool,nn_2,eval_Perturbation_Sensitivity,4.0465136
diabetes,deepfool,nn_2,eval_Neighbour_Distance,0.18725152
diabetes,carlini_l_2,lr,eval_L1,0.28819707
diabetes,carlini_l_2,lr,eval_L2,0.16414054
diabetes,carlini_l_2,lr,eval_Linf,0.1259428
diabetes,carlini_l_2,lr,eval_Sparsity,0.359375
diabetes,carlini_l_2,lr,eval_MAD,0.32386073
diabetes,carlini_l_2,lr,eval_Mahalanobis,0.027492588
diabetes,carlini_l_2,lr,eval_Perturbation_Sensitivity,3.8046374
diabetes,carlini_l_2,lr,eval_Neighbour_Distance,0.11826435
diabetes,carlini_l_2,svc,eval_L1,0.008253581
diabetes,carlini_l_2,svc,eval_L2,0.0043480652
diabetes,carlini_l_2,svc,eval_Linf,0.003172909
diabetes,carlini_l_2,svc,eval_Sparsity,1.34375
diabetes,carlini_l_2,svc,eval_MAD,0.009498559
diabetes,carlini_l_2,svc,eval_Mahalanobis,0.0006944154
diabetes,carlini_l_2,svc,eval_Perturbation_Sensitivity,4.0298443
diabetes,carlini_l_2,svc,eval_Neighbour_Distance,0.0043480652
diabetes,carlini_l_2,nn_2,eval_L1,0.36533743
diabetes,carlini_l_2,nn_2,eval_L2,0.17600738
diabetes,carlini_l_2,nn_2,eval_Linf,0.11642053
diabetes,carlini_l_2,nn_2,eval_Sparsity,0.34375
diabetes,carlini_l_2,nn_2,eval_MAD,0.40152127
diabetes,carlini_l_2,nn_2,eval_Mahalanobis,0.028531076
diabetes,carlini_l_2,nn_2,eval_Perturbation_Sensitivity,3.913315
diabetes,carlini_l_2,nn_2,eval_Neighbour_Distance,0.12286984
diabetes,carlini_l_inf,lr,eval_L1,0.030335499
diabetes,carlini_l_inf,lr,eval_L2,0.012085053
diabetes,carlini_l_inf,lr,eval_Linf,0.0055646924
diabetes,carlini_l_inf,lr,eval_Sparsity,0.8515625
diabetes,carlini_l_inf,lr,eval_MAD,0.032749187
diabetes,carlini_l_inf,lr,eval_Mahalanobis,0.0020321663
diabetes,carlini_l_inf,lr,eval_Perturbation_Sensitivity,4.0290937
diabetes,carlini_l_inf,lr,eval_Neighbour_Distance,0.012085053
diabetes,carlini_l_inf,svc,eval_L1,0.03377111
diabetes,carlini_l_inf,svc,eval_L2,0.013135189
diabetes,carlini_l_inf,svc,eval_Linf,0.0059043714
diabetes,carlini_l_inf,svc,eval_Sparsity,0.8984375
diabetes,carlini_l_inf,svc,eval_MAD,0.036406614
diabetes,carlini_l_inf,svc,eval_Mahalanobis,0.0021823312
diabetes,carlini_l_inf,svc,eval_Perturbation_Sensitivity,4.028804
diabetes,carlini_l_inf,svc,eval_Neighbour_Distance,0.013135189
diabetes,carlini_l_inf,nn_2,eval_L1,0.032095306
diabetes,carlini_l_inf,nn_2,eval_L2,0.012771188
diabetes,carlini_l_inf,nn_2,eval_Linf,0.0059655574
diabetes,carlini_l_inf,nn_2,eval_Sparsity,0.8515625
diabetes,carlini_l_inf,nn_2,eval_MAD,0.03439732
diabetes,carlini_l_inf,nn_2,eval_Mahalanobis,0.002260896
diabetes,carlini_l_inf,nn_2,eval_Perturbation_Sensitivity,4.035009
diabetes,carlini_l_inf,nn_2,eval_Neighbour_Distance,0.012771188
diabetes,lowprofool_l_2,lr,eval_L1,1.6105348
diabetes,lowprofool_l_2,lr,eval_L2,0.75451
diabetes,lowprofool_l_2,lr,eval_Linf,0.5227817
diabetes,lowprofool_l_2,lr,eval_Sparsity,0.5625
diabetes,lowprofool_l_2,lr,eval_MAD,1.7688357
diabetes,lowprofool_l_2,lr,eval_Mahalanobis,0.13648891
diabetes,lowprofool_l_2,lr,eval_Perturbation_Sensitivity,3.0604677
diabetes,lowprofool_l_2,lr,eval_Neighbour_Distance,0.44294727
diabetes,lowprofool_l_2,svc,eval_L1,1.3734782
diabetes,lowprofool_l_2,svc,eval_L2,0.65565383
diabetes,lowprofool_l_2,svc,eval_Linf,0.45477158
diabetes,lowprofool_l_2,svc,eval_Sparsity,0.5390625
diabetes,lowprofool_l_2,svc,eval_MAD,1.5531476
diabetes,lowprofool_l_2,svc,eval_Mahalanobis,0.108141795
