Dataset,Attack,Model,Metric,Value
diabetes,deepfool,lr,pred_attack_success,0.9609375
diabetes,deepfool,lr,groundtruth_attack_success,0.78125
diabetes,deepfool,lr,original_accuracy,0.7578125
diabetes,deepfool,lr,robust_accuracy,0.21875
diabetes,deepfool,svc,pred_attack_success,1.0
diabetes,deepfool,svc,groundtruth_attack_success,0.7578125
diabetes,deepfool,svc,original_accuracy,0.7578125
diabetes,deepfool,svc,robust_accuracy,0.2421875
diabetes,deepfool,nn_2,pred_attack_success,0.9765625
diabetes,deepfool,nn_2,groundtruth_attack_success,0.71875
diabetes,deepfool,nn_2,original_accuracy,0.7265625
diabetes,deepfool,nn_2,robust_accuracy,0.28125
diabetes,carlini_l_2,lr,pred_attack_success,0.9921875
diabetes,carlini_l_2,lr,groundtruth_attack_success,0.75
diabetes,carlini_l_2,lr,original_accuracy,0.7578125
diabetes,carlini_l_2,lr,robust_accuracy,0.25
diabetes,carlini_l_2,svc,pred_attack_success,0.21875
diabetes,carlini_l_2,svc,groundtruth_attack_success,0.2578125
diabetes,carlini_l_2,svc,original_accuracy,0.7578125
diabetes,carlini_l_2,svc,robust_accuracy,0.7421875
diabetes,carlini_l_2,nn_2,pred_attack_success,0.9921875
diabetes,carlini_l_2,nn_2,groundtruth_attack_success,0.71875
diabetes,carlini_l_2,nn_2,original_accuracy,0.7265625
diabetes,carlini_l_2,nn_2,robust_accuracy,0.28125
diabetes,carlini_l_inf,lr,pred_attack_success,0.2578125
diabetes,carlini_l_inf,lr,groundtruth_attack_success,0.3125
diabetes,carlini_l_inf,lr,original_accuracy,0.7578125
diabetes,carlini_l_inf,lr,robust_accuracy,0.6875
diabetes,carlini_l_inf,svc,pred_attack_success,0.3046875
diabetes,carlini_l_inf,svc,groundtruth_attack_success,0.296875
diabetes,carlini_l_inf,svc,original_accuracy,0.7578125
diabetes,carlini_l_inf,svc,robust_accuracy,0.703125
diabetes,carlini_l_inf,nn_2,pred_attack_success,0.328125
diabetes,carlini_l_inf,nn_2,groundtruth_attack_success,0.2734375
diabetes,carlini_l_inf,nn_2,original_accuracy,0.7265625
diabetes,carlini_l_inf,nn_2,robust_accuracy,0.7265625
diabetes,lowprofool_l_2,lr,pred_attack_success,1.0
diabetes,lowprofool_l_2,lr,groundtruth_attack_success,0.7578125
diabetes,lowprofool_l_2,lr,original_accuracy,0.7578125
diabetes,lowprofool_l_2,lr,robust_accuracy,0.2421875
diabetes,lowprofool_l_2,svc,pred_attack_success,1.0
diabetes,lowprofool_l_2,svc,groundtruth_attack_success,0.7578125
diabetes,lowprofool_l_2,svc,original_accuracy,0.7578125
diabetes,lowprofool_l_2,svc,robust_accuracy,0.2421875
diabetes,lowprofool_l_2,nn_2,pred_attack_success,1.0
diabetes,lowprofool_l_2,nn_2,groundtruth_attack_success,0.7265625
diabetes,lowprofool_l_2,nn_2,original_accuracy,0.7265625
diabetes,lowprofool_l_2,nn_2,robust_accuracy,0.2734375
diabetes,lowprofool_l_inf,lr,pred_attack_success,1.0
diabetes,lowprofool_l_inf,lr,groundtruth_attack_success,0.7578125
diabetes,lowprofool_l_inf,lr,original_accuracy,0.7578125
diabetes,lowprofool_l_inf,lr,robust_accuracy,0.2421875
diabetes,lowprofool_l_inf,svc,pred_attack_success,1.0
diabetes,lowprofool_l_inf,svc,groundtruth_attack_success,0.7578125
diabetes,lowprofool_l_inf,svc,original_accuracy,0.7578125
diabetes,lowprofool_l_inf,svc,robust_accuracy,0.2421875
diabetes,lowprofool_l_inf,nn_2,pred_attack_success,1.0
diabetes,lowprofool_l_inf,nn_2,groundtruth_attack_success,0.7265625
diabetes,lowprofool_l_inf,nn_2,original_accuracy,0.7265625
diabetes,lowprofool_l_inf,nn_2,robust_accuracy,0.2734375
