Dataset,Attack,Model,Metric,Value
german,deepfool,lr,eval_L1,1.5837059
german,deepfool,lr,eval_L2,0.64351577
german,deepfool,lr,eval_Linf,0.3363958
german,deepfool,lr,eval_Sparsity,15.354167
german,deepfool,lr,eval_MAD,1.2682015
german,deepfool,lr,eval_Mahalanobis,0.21088015
german,deepfool,lr,eval_Perturbation_Sensitivity,2.7335622
german,deepfool,lr,eval_Neighbour_Distance,0.6188155
german,deepfool,svc,eval_L1,0.7559606
german,deepfool,svc,eval_L2,0.41281167
german,deepfool,svc,eval_Linf,0.30266467
german,deepfool,svc,eval_Sparsity,15.6875
german,deepfool,svc,eval_MAD,1.072134
german,deepfool,svc,eval_Mahalanobis,0.08593403
german,deepfool,svc,eval_Perturbation_Sensitivity,3.0056705
german,deepfool,svc,eval_Neighbour_Distance,0.41281167
german,deepfool,nn_2,eval_L1,4.0821905
german,deepfool,nn_2,eval_L2,1.1268703
german,deepfool,nn_2,eval_Linf,0.41695893
german,deepfool,nn_2,eval_Sparsity,14.0
german,deepfool,nn_2,eval_MAD,1.393634
german,deepfool,nn_2,eval_Mahalanobis,0.472154
german,deepfool,nn_2,eval_Perturbation_Sensitivity,2.6484532
german,deepfool,nn_2,eval_Neighbour_Distance,1.0040445
german,carlini_l_2,lr,eval_L1,1.0059184
german,carlini_l_2,lr,eval_L2,0.53200203
german,carlini_l_2,lr,eval_Linf,0.35390308
german,carlini_l_2,lr,eval_Sparsity,15.229167
german,carlini_l_2,lr,eval_MAD,1.1939504
german,carlini_l_2,lr,eval_Mahalanobis,0.12987898
german,carlini_l_2,lr,eval_Perturbation_Sensitivity,2.6631644
german,carlini_l_2,lr,eval_Neighbour_Distance,0.52970344
german,carlini_l_2,svc,eval_L1,3.105587e-08
german,carlini_l_2,svc,eval_L2,2.0904295e-08
german,carlini_l_2,svc,eval_Linf,1.8194903e-08
german,carlini_l_2,svc,eval_Sparsity,16.307291
german,carlini_l_2,svc,eval_MAD,3.2044053e-08
german,carlini_l_2,svc,eval_Mahalanobis,6.2436625e-09
german,carlini_l_2,svc,eval_Perturbation_Sensitivity,2.9242046
german,carlini_l_2,svc,eval_Neighbour_Distance,2.0904295e-08
german,carlini_l_2,nn_2,eval_L1,0.56793475
german,carlini_l_2,nn_2,eval_L2,0.35473263
german,carlini_l_2,nn_2,eval_Linf,0.28939474
german,carlini_l_2,nn_2,eval_Sparsity,15.473958
german,carlini_l_2,nn_2,eval_MAD,0.70129275
german,carlini_l_2,nn_2,eval_Mahalanobis,0.08217203
german,carlini_l_2,nn_2,eval_Perturbation_Sensitivity,2.7077243
german,carlini_l_2,nn_2,eval_Neighbour_Distance,0.35441822
german,carlini_l_inf,lr,eval_L1,0.0046331477
german,carlini_l_inf,lr,eval_L2,0.0024219488
german,carlini_l_inf,lr,eval_Linf,0.0015175743
german,carlini_l_inf,lr,eval_Sparsity,16.046875
german,carlini_l_inf,lr,eval_MAD,0.005433803
german,carlini_l_inf,lr,eval_Mahalanobis,0.0006287847
german,carlini_l_inf,lr,eval_Perturbation_Sensitivity,2.923199
german,carlini_l_inf,lr,eval_Neighbour_Distance,0.0024219488
german,carlini_l_inf,svc,eval_L1,0.004182984
german,carlini_l_inf,svc,eval_L2,0.0022410457
german,carlini_l_inf,svc,eval_Linf,0.0014629622
german,carlini_l_inf,svc,eval_Sparsity,16.046875
german,carlini_l_inf,svc,eval_MAD,0.005037887
german,carlini_l_inf,svc,eval_Mahalanobis,0.0005736821
german,carlini_l_inf,svc,eval_Perturbation_Sensitivity,2.923703
german,carlini_l_inf,svc,eval_Neighbour_Distance,0.0022410457
german,carlini_l_inf,nn_2,eval_L1,0.0034934655
german,carlini_l_inf,nn_2,eval_L2,0.0019059859
german,carlini_l_inf,nn_2,eval_Linf,0.001237978
german,carlini_l_inf,nn_2,eval_Sparsity,16.020834
german,carlini_l_inf,nn_2,eval_MAD,0.0042667966
german,carlini_l_inf,nn_2,eval_Mahalanobis,0.0004921305
german,carlini_l_inf,nn_2,eval_Perturbation_Sensitivity,2.9232287
german,carlini_l_inf,nn_2,eval_Neighbour_Distance,0.0019059859
