,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.51892376,0.060068186,0.0002919134,0.14219429,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,54.881435,6006.759,1.2715747,14.9350395,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,118.57869482040405,Y,Y,<=50K,<=50K,>50K
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.6593833,0.05971137,0.001685947,0.1934319,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,65.13498,5971.077,7.343985,19.956326,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,118.57869482040405,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.16497287,0.09153406,0.0005700583,0.39753532,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,29.04302,9153.314,2.4831738,39.95846,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,118.57869482040405,Y,Y,<=50K,<=50K,>50K
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.046587255,0.45703536,0.02015451,0.20682463,State-gov,Doctorate,Married-civ-spouse,Other-service,Husband,White,Male,United-States,20.40087,45703.08,87.793045,21.268814,State-gov,Doctorate,Married-civ-spouse,Other-service,Husband,White,Male,United-States,118.57869482040405,Y,Y,>50K,>50K,<=50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.20586182,0.083499804,0.00037421365,0.39734748,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,32.027912,8349.896,1.6300746,39.940052,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,118.57869482040405,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.28683147,0.09801761,0.0019724458,0.4806959,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,37.938694,9801.663,8.591973,48.108196,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,118.57869482040405,Y,Y,<=50K,<=50K,>50K
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.19778723,0.004158353,0.003091474,0.31197435,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,31.438467,415.83115,13.466461,31.573486,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,118.57869482040405,Y,Y,>50K,>50K,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.24682169,0.05980971,0.0014535347,0.39771184,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,35.017982,5980.911,6.3315973,39.97576,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,118.57869482040405,Y,Y,<=50K,<=50K,>50K
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.48082933,0.083346285,0.0,0.49992993,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,52.10054,8334.545,0.0,49.993137,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,118.57869482040405,Y,Y,<=50K,<=50K,>50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,0.2845132,0.00058828096,0.0,0.3971347,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,37.769463,58.827507,0.0,39.9192,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,118.57869482040405,N,N,<=50K,>50K,<=50K
0,0.1232876712328767,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K,26.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K,0.12465066,0.12686142,0.0,0.37851876,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,26.099499,12686.016,0.0,38.094837,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,118.57869482040405,Y,Y,<=50K,<=50K,>50K
