,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.52161926,0.020359566,0.0019122073,0.14537105,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,55.078205,2035.9363,8.329576,15.246363,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,3.7119150161743164,Y,Y,<=50K,<=50K,>50K
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.6578732,0.014211971,0.0012118402,0.19537953,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,65.02474,1421.1829,5.2787757,20.147194,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,3.7119150161743164,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.17111923,0.15333213,0.01511295,0.415373,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,29.491703,15333.06,65.83201,41.706554,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,3.7119150161743164,Y,Y,<=50K,<=50K,>50K
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.46329135,0.0,0.0,0.32723773,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,50.82027,0.0,0.0,33.069298,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,3.7119150161743164,Y,Y,>50K,>50K,<=50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.2127618,0.08995533,0.0098731965,0.4070475,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,32.531612,8995.443,43.007645,40.890656,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,3.7119150161743164,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.2959378,0.1678939,0.021303577,0.5001589,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,38.60346,16789.223,92.798386,50.01557,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,3.7119150161743164,Y,Y,<=50K,<=50K,>50K
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.18540303,0.0,0.0,0.39378908,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,30.53442,0.0,0.0,39.59133,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,3.7119150161743164,Y,Y,>50K,>50K,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.25141224,0.064487346,0.006418657,0.40330127,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,35.353096,6448.67,27.95967,40.523525,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,3.7119150161743164,Y,Y,<=50K,<=50K,>50K
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.48451945,0.16737099,0.016948767,0.51929724,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,52.36992,16736.932,73.82883,51.89113,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,3.7119150161743164,Y,Y,<=50K,<=50K,>50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,0.26284352,0.052546825,0.005547819,0.40133187,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,36.187576,5254.63,24.1663,40.330524,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,3.7119150161743164,Y,Y,<=50K,<=50K,>50K
