,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.12764958,0.024667248,0.005667229,0.30904558,25 - 45,Female,Other,F,0,0,0,27.956665,0.9373554,5.990261,246.92741,25 - 45,Female,Other,F,0,0,0,2.0829811096191406,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.051290885,0.205149,0.16053009,0.07845409,Less than 25,Male,Caucasian,F,1,0,1,22.000689,7.795662,169.6803,62.68482,Less than 25,Male,Caucasian,F,1,0,1,2.0829811096191406,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.33414367,0.04645737,0.016347058,0.0020287263,25 - 45,Male,African-American,M,0,0,0,44.063206,1.76538,17.278841,1.6209522,25 - 45,Male,African-American,M,0,0,0,2.0829811096191406,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.17000115,0.0021783425,0.0030063824,0.031889305,25 - 45,Male,African-American,M,0,0,0,31.260088,0.082777016,3.177746,25.479555,25 - 45,Male,African-American,M,0,0,0,2.0829811096191406,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.14182524,0.13019054,0.00055943854,0.0023116008,25 - 45,Male,African-American,F,0,0,0,29.062368,4.9472404,0.59132653,1.8469691,25 - 45,Male,African-American,F,0,0,0,2.0829811096191406,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,High,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,High,0.084579214,0.052691974,0.00091199274,0.0035893964,Less than 25,Male,African-American,M,0,0,0,24.59718,2.002295,0.9639763,2.8679278,Less than 25,Male,African-American,M,0,0,0,2.0829811096191406,N,N,Medium-Low,High,Medium-Low
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.076885834,5.2148524e-05,0.00069001474,0.003518492,Less than 25,Male,African-American,M,1,0,1,23.997095,0.001981644,0.72934556,2.811275,Less than 25,Male,African-American,M,1,0,1,2.0829811096191406,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.18000478,0.0018027534,0.0051566768,0.024839012,25 - 45,Male,African-American,F,0,0,0,32.04037,0.06850463,5.4506073,19.84637,25 - 45,Male,African-American,F,0,0,0,2.0829811096191406,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.09105417,0.13114592,0.0009002904,0.0016317472,25 - 45,Male,Hispanic,F,1,0,1,25.102224,4.9835453,0.9516069,1.303766,25 - 45,Male,Hispanic,F,1,0,1,2.0829811096191406,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.24343356,0.10535144,0.0011342267,0.0067283493,25 - 45,Female,African-American,M,0,0,0,36.987816,4.0033545,1.1988776,5.3759513,25 - 45,Female,African-American,M,0,0,0,2.0829811096191406,Y,Y,Medium-Low,Medium-Low,High
