,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.0,0.32714182,0.018292688,0.13478361,25 - 45,Female,Other,F,0,0,0,18.0,12.431389,19.335371,107.69211,25 - 45,Female,Other,F,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.089896694,0.09107654,0.15483813,0.046255153,Less than 25,Male,Caucasian,F,1,0,1,25.011942,3.4609084,163.66391,36.957867,Less than 25,Male,Caucasian,F,1,0,1,2.522716522216797,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.16940998,0.27461237,0.009457658,0.1272691,25 - 45,Male,African-American,M,0,0,0,31.213978,10.43527,9.996744,101.68801,25 - 45,Male,African-American,M,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.031300828,0.1944801,0.0058915764,0.07961101,25 - 45,Male,African-American,M,0,0,0,20.441465,7.390244,6.2273965,63.6092,25 - 45,Male,African-American,M,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.045955993,0.16627863,0.009585657,0.07759753,25 - 45,Male,African-American,F,0,0,0,21.584568,6.318588,10.13204,62.000427,25 - 45,Male,African-American,F,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,0.040108185,0.11344204,0.0052277716,0.033162754,Less than 25,Male,African-American,M,0,0,0,21.128439,4.3107977,5.5257545,26.49704,Less than 25,Male,African-American,M,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.047840122,0.053270467,0.0017179549,0.023451842,Less than 25,Male,African-American,M,1,0,1,21.731531,2.0242777,1.8158783,18.738022,Less than 25,Male,African-American,M,1,0,1,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.077218585,0.18866369,0.007023732,0.07868775,25 - 45,Male,African-American,F,0,0,0,24.023048,7.1692204,7.424085,62.871513,25 - 45,Male,African-American,F,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.006413755,0.19239475,0.0048472746,0.06008918,25 - 45,Male,Hispanic,F,1,0,1,18.500273,7.3110003,5.1235695,48.011253,25 - 45,Male,Hispanic,F,1,0,1,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.14428681,0.27136737,0.0061722756,0.07586217,25 - 45,Female,African-American,M,0,0,0,29.25437,10.31196,6.5240955,60.613873,25 - 45,Female,African-American,M,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.11538461538461539,0.10526315789473684,0.000946073793755913,0.04130162703379224,25 - 45,Male,African-American,F,0,0,0,Medium-Low,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.08016247,0.16650885,0.0045241257,0.06801736,25 - 45,Male,African-American,F,0,0,0,24.252674,6.3273363,4.782001,54.345875,25 - 45,Male,African-American,F,0,0,0,2.522716522216797,N,N,High,Medium-Low,High
0,0.19230769230769232,0.02631578947368421,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,0.036666743,0.27620733,0.017934246,0.1156766,25 - 45,Male,Hispanic,F,0,0,0,20.860006,10.495878,18.956497,92.4256,25 - 45,Male,Hispanic,F,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.11538461538461539,0.10526315789473684,0.28382213812677387,0.0,25 - 45,Male,African-American,M,1,0,1,Medium-Low,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,Medium-Low,0.0927138,0.14310105,0.28586048,0.016739631,25 - 45,Male,African-American,M,1,0,1,25.231676,5.43784,302.15454,13.374966,25 - 45,Male,African-American,M,1,0,1,2.522716522216797,N,N,High,Medium-Low,High
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,0.23057611,0.0039003608,0.081418395,25 - 45,Male,Caucasian,F,0,0,0,18.0,8.761892,4.122681,65.0533,25 - 45,Male,Caucasian,F,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.20512820512820515,0.05263157894736842,0.0,0.0012515644555694619,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,34.0,2.0,0.0,1.0,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,0.07244524,0.26464176,0.0057590683,0.09124806,25 - 45,Male,Hispanic,M,1,0,1,23.650728,10.056387,6.087335,72.907196,25 - 45,Male,Hispanic,M,1,0,1,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.3205128205128205,0.10526315789473684,0.0,0.0025031289111389237,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,42.99999999999999,4.0,0.0,2.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,0.2360197,0.24278599,0.0043345373,0.066415034,25 - 45,Male,Caucasian,F,1,1,1,36.409534,9.225867,4.581606,53.065613,25 - 45,Male,Caucasian,F,1,1,1,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,37.0,4.0,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,0.11404986,0.33177048,0.0138752125,0.094494306,25 - 45,Male,Caucasian,M,0,0,0,26.89589,12.607278,14.6661,75.50095,25 - 45,Male,Caucasian,M,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.0,0.000946073793755913,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,30.0,0.0,1.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,0.0,0.26236504,0.014467612,0.124139994,25 - 45,Male,Caucasian,M,0,0,0,18.0,9.9698715,15.292266,99.18786,25 - 45,Male,Caucasian,M,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.4487179487179488,0.21052631578947367,0.000946073793755913,0.006257822277847309,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,53.00000000000001,8.0,1.0,5.0,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,0.38415486,0.31360307,0.010749474,0.052353553,Greater than 45,Male,African-American,F,1,0,1,47.964077,11.916917,11.362194,41.83049,Greater than 45,Male,African-American,F,1,0,1,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.41025641025641024,0.02631578947368421,0.000946073793755913,0.0012515644555694619,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,50.0,1.0,1.0,1.0,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,0.20642902,0.3698528,0.015608502,0.14877506,Greater than 45,Male,Caucasian,F,1,0,0,34.101463,14.054407,16.498186,118.87127,Greater than 45,Male,Caucasian,F,1,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.0,0.0,0.11264080100125157,25 - 45,Male,African-American,F,1,1,1,Medium-Low,25.0,0.0,0.0,90.0,25 - 45,Male,African-American,F,1,1,1,Medium-Low,0.08241697,0.0128438845,0.00045435716,0.118066184,25 - 45,Male,African-American,F,1,1,1,24.428524,0.48806763,0.4802555,94.334885,25 - 45,Male,African-American,F,1,1,1,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.3684210526315789,0.02554399243140965,0.02753441802252816,25 - 45,Male,African-American,F,1,0,1,High,30.0,14.0,27.0,22.0,25 - 45,Male,African-American,F,1,0,1,High,0.26572737,0.1869206,0.013752354,0.0,25 - 45,Male,African-American,F,1,0,1,38.726734,7.1029825,14.536239,0.0,25 - 45,Male,African-American,F,1,0,1,2.522716522216797,N,N,Medium-Low,High,Medium-Low
0,0.038461538461538464,0.0,0.000946073793755913,0.0012515644555694619,Less than 25,Male,African-American,F,1,0,1,Medium-Low,21.0,0.0,1.0,1.0,Less than 25,Male,African-American,F,1,0,1,Medium-Low,0.032656662,0.010239563,0.0012721424,0.005516379,Less than 25,Male,African-American,F,1,0,1,20.547218,0.38910338,1.3446546,4.407587,Less than 25,Male,African-American,F,1,0,1,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.28205128205128205,0.05263157894736842,0.000946073793755913,0.0012515644555694619,25 - 45,Male,Native American,M,0,0,0,Medium-Low,40.0,2.0,1.0,1.0,25 - 45,Male,Native American,M,0,0,0,Medium-Low,0.1933615,0.20123915,0.0085674105,0.06199323,25 - 45,Male,Native American,M,0,0,0,33.0822,7.647088,9.055753,49.532593,25 - 45,Male,Native American,M,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.2564102564102564,0.3684210526315789,0.000946073793755913,0.0,25 - 45,Male,African-American,F,0,0,0,High,37.99999999999999,14.0,1.0,0.0,25 - 45,Male,African-American,F,0,0,0,High,0.29939395,0.29465303,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,41.352726,11.1968155,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,2.522716522216797,Y,Y,High,High,Medium-Low
0,0.11538461538461539,0.3421052631578947,0.0,0.017521902377972465,25 - 45,Male,African-American,F,1,0,1,High,27.0,12.999999999999998,0.0,13.999999999999998,25 - 45,Male,African-American,F,1,0,1,High,0.22166781,0.1639349,0.0,0.0,25 - 45,Male,African-American,F,1,0,1,35.29009,6.229526,0.0,0.0,25 - 45,Male,African-American,F,1,0,1,2.522716522216797,N,N,Medium-Low,High,Medium-Low
0,0.1794871794871795,0.0,0.000946073793755913,0.0,25 - 45,Male,Other,F,0,0,0,Medium-Low,32.0,0.0,1.0,0.0,25 - 45,Male,Other,F,0,0,0,Medium-Low,0.0041541904,0.3204558,0.0046016793,0.1487886,25 - 45,Male,Other,F,0,0,0,18.324026,12.1773205,4.863975,118.882095,25 - 45,Male,Other,F,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.41025641025641024,0.631578947368421,0.0,0.04005006257822278,Greater than 45,Male,African-American,M,1,1,1,High,50.0,24.0,0.0,32.0,Greater than 45,Male,African-American,M,1,1,1,High,0.5782831,0.34422407,0.00027034478,0.0,Greater than 45,Male,African-American,M,1,1,1,63.10608,13.080515,0.28575444,0.0,Greater than 45,Male,African-American,M,1,1,1,2.522716522216797,Y,Y,High,High,Medium-Low
0,0.47435897435897434,0.02631578947368421,0.002838221381267739,0.0,Greater than 45,Male,Caucasian,M,0,0,0,Medium-Low,55.0,1.0,3.0,0.0,Greater than 45,Male,Caucasian,M,0,0,0,Medium-Low,0.24797222,0.43924007,0.011980599,0.16967624,Greater than 45,Male,Caucasian,M,0,0,0,37.34183,16.691122,12.663493,135.57132,Greater than 45,Male,Caucasian,M,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.0,0.000946073793755913,0.0,Less than 25,Male,Caucasian,M,0,0,0,Medium-Low,24.000000000000004,0.0,1.0,0.0,Less than 25,Male,Caucasian,M,0,0,0,Medium-Low,0.0,0.1807101,0.0064534387,0.08312167,Less than 25,Male,Caucasian,M,0,0,0,18.0,6.866984,6.821285,66.414215,Less than 25,Male,Caucasian,M,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.3248069,0.45044357,0.020817965,0.17849654,Greater than 45,Male,Caucasian,F,0,0,0,43.334938,17.116856,22.00459,142.61873,Greater than 45,Male,Caucasian,F,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.19230769230769232,0.02631578947368421,0.000946073793755913,0.1051314142678348,25 - 45,Female,Caucasian,F,0,0,0,Medium-Low,33.0,1.0,1.0,84.0,25 - 45,Female,Caucasian,F,0,0,0,Medium-Low,0.06615291,0.24410707,0.00089063274,0.20020771,25 - 45,Female,Caucasian,F,0,0,0,23.159927,9.276069,0.9413988,159.96596,25 - 45,Female,Caucasian,F,0,0,0,2.522716522216797,N,N,High,Medium-Low,High
0,0.051282051282051294,0.10526315789473684,0.0,0.0025031289111389237,Less than 25,Female,African-American,F,1,1,1,High,22.0,4.0,0.0,2.0,Less than 25,Female,African-American,F,1,1,1,High,0.1165404,0.0,0.0,0.0,Less than 25,Female,African-American,F,1,1,1,27.09015,0.0,0.0,0.0,Less than 25,Female,African-American,F,1,1,1,2.522716522216797,Y,Y,High,High,Medium-Low
0,0.5128205128205129,0.07894736842105263,0.003784295175023652,0.0,Greater than 45,Male,Caucasian,M,0,0,0,Medium-Low,58.00000000000001,3.0,4.0,0.0,Greater than 45,Male,Caucasian,M,0,0,0,Medium-Low,0.2955358,0.45834163,0.019609991,0.17000782,Greater than 45,Male,Caucasian,M,0,0,0,41.051792,17.416983,20.72776,135.83626,Greater than 45,Male,Caucasian,M,0,0,0,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.10526315789473684,0.02554399243140965,0.0012515644555694619,25 - 45,Female,Other,F,1,0,1,Medium-Low,30.0,4.0,27.0,1.0,25 - 45,Female,Other,F,1,0,1,Medium-Low,0.041509192,0.28755426,0.035610113,0.08367674,25 - 45,Female,Other,F,1,0,1,21.237717,10.927062,37.63989,66.85772,25 - 45,Female,Other,F,1,0,1,2.522716522216797,N,N,High,Medium-Low,High
0,0.1794871794871795,0.10526315789473684,0.0,0.05506883604505632,25 - 45,Male,African-American,F,1,0,1,Medium-Low,32.0,4.0,0.0,44.0,25 - 45,Male,African-American,F,1,0,1,Medium-Low,0.15873711,0.13895862,0.0012523559,0.06955829,25 - 45,Male,African-American,F,1,0,1,30.381495,5.2804275,1.3237401,55.577076,25 - 45,Male,African-American,F,1,0,1,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.15789473684210525,0.002838221381267739,0.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,29.000000000000004,6.0,3.0,0.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,0.1299744,0.17969877,0.0035209649,0.008947221,25 - 45,Male,Caucasian,F,1,1,1,28.138002,6.828553,3.72166,7.1488295,25 - 45,Male,Caucasian,F,1,1,1,2.522716522216797,Y,Y,Medium-Low,Medium-Low,High
