,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.013514135,0.35424188,0.0035127029,0.16798599,25 - 45,Female,Other,F,0,0,0,19.054102,13.461191,3.7129269,134.22081,25 - 45,Female,Other,F,0,0,0,16.605645179748535,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.095213555,0.06277054,0.1548796,0.018169992,Less than 25,Male,Caucasian,F,1,0,1,25.426657,2.3852804,163.70773,14.517823,Less than 25,Male,Caucasian,F,1,0,1,16.605645179748535,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.25930405,0.190973,0.005344519,0.104197785,25 - 45,Male,African-American,M,0,0,0,38.225716,7.2569737,5.6491566,83.25403,25 - 45,Male,African-American,M,0,0,0,16.605645179748535,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.0867534,0.1277809,0.0,0.06902244,25 - 45,Male,African-American,M,0,0,0,24.766764,4.8556743,0.0,55.14893,25 - 45,Male,African-American,M,0,0,0,16.605645179748535,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.07223717,0.15005042,0.0,0.06887047,25 - 45,Male,African-American,F,0,0,0,23.6345,5.7019157,0.0,55.027504,25 - 45,Male,African-American,F,0,0,0,16.605645179748535,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,0.06601921,0.103716,0.0037312096,0.028693302,Less than 25,Male,African-American,M,0,0,0,23.149498,3.9412081,3.9438884,22.925947,Less than 25,Male,African-American,M,0,0,0,16.605645179748535,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.06339144,0.037979193,0.0050031124,0.020977868,Less than 25,Male,African-American,M,1,0,1,22.944532,1.4432093,5.2882895,16.761316,Less than 25,Male,African-American,M,1,0,1,16.605645179748535,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.10472155,0.16136084,0.0,0.08386503,25 - 45,Male,African-American,F,0,0,0,26.168282,6.131712,0.0,67.00816,25 - 45,Male,African-American,F,0,0,0,16.605645179748535,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.042242642,0.16326158,0.01226627,0.06939976,25 - 45,Male,Hispanic,F,1,0,1,21.294926,6.20394,12.965447,55.45041,25 - 45,Male,Hispanic,F,1,0,1,16.605645179748535,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.19782864,0.276922,0.008866693,0.07760209,25 - 45,Female,African-American,M,0,0,0,33.430634,10.523035,9.372094,62.00407,25 - 45,Female,African-American,M,0,0,0,16.605645179748535,Y,Y,Medium-Low,Medium-Low,High
