,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.13024941,0.2945183,0.0,0.039378546,25 - 45,Female,Other,F,0,0,0,28.159452,11.191695,0.0,31.463459,25 - 45,Female,Other,F,0,0,0,107.7655246257782,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.3037833,0.17990634,0.18471642,0.0066173114,Less than 25,Male,Caucasian,F,1,0,1,41.695095,6.836441,195.24525,5.287232,Less than 25,Male,Caucasian,F,1,0,1,107.7655246257782,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.33852258,0.26777235,0.0,0.009469043,25 - 45,Male,African-American,M,0,0,0,44.404762,10.175349,0.0,7.565766,25 - 45,Male,African-American,M,0,0,0,107.7655246257782,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.15087843,0.1413047,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,29.768517,5.369579,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,107.7655246257782,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.14100564,0.015720027,9.712887e-05,0.0,25 - 45,Male,African-American,F,0,0,0,28.998438,0.597361,0.102665216,0.0,25 - 45,Male,African-American,F,0,0,0,107.7655246257782,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,High,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,High,0.076942615,0.05264412,0.0009555472,0.0030041013,Less than 25,Male,African-American,M,0,0,0,24.001524,2.0004766,1.0100133,2.400277,Less than 25,Male,African-American,M,0,0,0,107.7655246257782,N,N,Medium-Low,High,Medium-Low
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.07689193,5.7657984e-05,2.852418e-05,0.0034958916,Less than 25,Male,African-American,M,1,0,1,23.99757,0.0021910034,0.030150058,2.7932174,Less than 25,Male,African-American,M,1,0,1,107.7655246257782,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.16140999,0.1415979,0.005268603,0.0,25 - 45,Male,African-American,F,0,0,0,30.58998,5.38072,5.5689135,0.0,25 - 45,Male,African-American,F,0,0,0,107.7655246257782,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.089286484,0.13107115,0.0,0.0034063086,25 - 45,Male,Hispanic,F,1,0,1,24.964346,4.980704,0.0,2.7216406,25 - 45,Male,Hispanic,F,1,0,1,107.7655246257782,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.16588196,0.12441335,0.0104017975,0.080413334,25 - 45,Female,African-American,M,0,0,0,30.938791,4.7277074,10.9946995,64.25025,25 - 45,Female,African-American,M,0,0,0,107.7655246257782,Y,Y,Medium-Low,Medium-Low,High
