,scaled_input_duration_in_month,scaled_input_credit_amount,scaled_input_installment_as_income_perc,scaled_input_present_res_since,scaled_input_age,scaled_input_account_check_status,scaled_input_credit_history,scaled_input_purpose,scaled_input_savings,scaled_input_present_emp_since,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_property,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_credits_this_bank,scaled_input_job,scaled_input_people_under_maintenance,scaled_input_telephone,scaled_input_foreign_worker,scaled_input_default,origin_input_duration_in_month,origin_input_credit_amount,origin_input_installment_as_income_perc,origin_input_present_res_since,origin_input_age,origin_input_account_check_status,origin_input_credit_history,origin_input_purpose,origin_input_savings,origin_input_present_emp_since,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_property,origin_input_other_installment_plans,origin_input_housing,origin_input_credits_this_bank,origin_input_job,origin_input_people_under_maintenance,origin_input_telephone,origin_input_foreign_worker,origin_input_default,scaled_adv_duration_in_month,scaled_adv_credit_amount,scaled_adv_installment_as_income_perc,scaled_adv_present_res_since,scaled_adv_age,scaled_adv_account_check_status,scaled_adv_credit_history,scaled_adv_purpose,scaled_adv_savings,scaled_adv_present_emp_since,scaled_adv_personal_status_sex,scaled_adv_other_debtors,scaled_adv_property,scaled_adv_other_installment_plans,scaled_adv_housing,scaled_adv_credits_this_bank,scaled_adv_job,scaled_adv_people_under_maintenance,scaled_adv_telephone,scaled_adv_foreign_worker,origin_adv_duration_in_month,origin_adv_credit_amount,origin_adv_installment_as_income_perc,origin_adv_present_res_since,origin_adv_age,origin_adv_account_check_status,origin_adv_credit_history,origin_adv_purpose,origin_adv_savings,origin_adv_present_emp_since,origin_adv_personal_status_sex,origin_adv_other_debtors,origin_adv_property,origin_adv_other_installment_plans,origin_adv_housing,origin_adv_credits_this_bank,origin_adv_job,origin_adv_people_under_maintenance,origin_adv_telephone,origin_adv_foreign_worker,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.47058823529411764,0.36519203257400684,1.0,0.6666666666666667,0.17857142857142855,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,36.0,6887.0,4.0,3.0,28.999999999999996,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,0.0,0.30388045,0.930524,0.7146584,0.3483919,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,4.0,5772.7236,3.791572,3.1439753,38.50995,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,118.23892784118652,Y,Y,Y,Y,N
0,0.1176470588235294,0.035875426433366345,1.0,1.0,0.035714285714285754,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,1,skilled employee / official,1,none,yes,Y,11.999999999999998,902.0,4.0,4.0,21.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,1,skilled employee / official,1,none,yes,Y,0.09138622,0.036352634,0.9999351,0.99987364,0.0353979,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,1,skilled employee / official,1,none,yes,10.214263,910.6727,3.9998052,3.999621,20.982283,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,1,skilled employee / official,1,none,yes,118.23892784118652,Y,Y,Y,Y,N
0,0.2941176470588235,0.11461428414218112,1.0,0.3333333333333333,0.17857142857142855,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,unskilled - resident,1,none,yes,N,23.999999999999996,2333.0,4.0,2.0,28.999999999999996,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,unskilled - resident,1,none,yes,N,0.2858014,0.10419866,1.0,0.35539785,0.08323728,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,unskilled - resident,1,none,yes,23.434496,2143.7065,4.0,2.0661936,23.661287,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,unskilled - resident,1,none,yes,118.23892784118652,Y,Y,N,N,Y
0,0.20588235294117646,0.09843732805106195,0.0,1.0,0.01785714285714285,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,1,skilled employee / official,1,none,yes,Y,18.0,2039.0,1.0,4.0,20.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,1,skilled employee / official,1,none,yes,Y,0.20822649,0.093764365,0.0,0.9961936,0.15581557,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,1,skilled employee / official,1,none,yes,18.1594,1954.0736,1.0,3.9885807,27.725672,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,1,skilled employee / official,1,none,yes,118.23892784118652,Y,Y,Y,Y,N
0,0.16176470588235292,0.1363486299108617,1.0,0.3333333333333333,0.28571428571428575,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,N,15.0,2728.0,4.0,2.0,35.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.22703126,0.50355875,0.978125,0.3540088,0.32778707,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,19.438126,9401.677,3.934375,2.0620263,37.356075,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,118.23892784118652,Y,Y,N,N,Y
0,0.16176470588235292,0.06569825024760646,1.0,0.0,0.07142857142857145,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,1,skilled employee / official,1,none,yes,N,15.0,1444.0,4.0,1.0,23.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,1,skilled employee / official,1,none,yes,N,0.16676688,0.75819796,0.9090622,0.0,0.07780197,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,1,skilled employee / official,1,none,yes,15.340148,14029.49,3.7271867,1.0,23.35691,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,1,skilled employee / official,1,none,yes,118.23892784118652,Y,Y,N,N,Y
0,0.47058823529411764,0.23236491691427316,1.0,0.3333333333333333,0.21428571428571425,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,skilled employee / official,1,none,yes,N,36.0,4473.0,4.0,2.0,30.999999999999996,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,skilled employee / official,1,none,yes,N,0.6026926,0.3233532,0.9995478,0.33695608,0.21714008,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,skilled employee / official,1,none,yes,44.983097,6126.621,3.9986434,2.010868,31.159845,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,skilled employee / official,1,none,yes,118.23892784118652,Y,Y,N,N,Y
0,0.16176470588235292,0.08093980411576977,0.3333333333333333,0.6666666666666667,0.30357142857142855,< 0 DM,existing credits paid back duly till now,car (new),... < 100 DM,... < 1 year ,male : single,none,real estate,none,own,1,skilled employee / official,1,none,yes,N,15.0,1721.0,2.0,3.0,36.0,< 0 DM,existing credits paid back duly till now,car (new),... < 100 DM,... < 1 year ,male : single,none,real estate,none,own,1,skilled employee / official,1,none,yes,N,0.18798845,0.08098319,0.33368763,0.666892,0.30380464,< 0 DM,existing credits paid back duly till now,car (new),... < 100 DM,... < 1 year ,male : single,none,real estate,none,own,1,skilled employee / official,1,none,yes,16.783215,1721.7886,2.0010629,3.000676,36.01306,< 0 DM,existing credits paid back duly till now,car (new),... < 100 DM,... < 1 year ,male : single,none,real estate,none,own,1,skilled employee / official,1,none,yes,118.23892784118652,Y,Y,N,N,Y
0,0.2941176470588235,0.36436667767139874,0.3333333333333333,0.0,0.6428571428571428,< 0 DM,all credits at this bank paid back duly,radio/television,... < 100 DM,... < 1 year ,male : divorced/separated,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,23.999999999999996,6872.000000000001,2.0,1.0,54.99999999999999,< 0 DM,all credits at this bank paid back duly,radio/television,... < 100 DM,... < 1 year ,male : divorced/separated,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.3204029,0.3636273,0.33360848,0.0,0.6430227,< 0 DM,all credits at this bank paid back duly,radio/television,... < 100 DM,... < 1 year ,male : divorced/separated,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,25.787395,6858.563,2.0008254,1.0,55.009274,< 0 DM,all credits at this bank paid back duly,radio/television,... < 100 DM,... < 1 year ,male : divorced/separated,none,if not A121 : building society savings agreement/ life insurance,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,118.23892784118652,N,N,Y,N,Y
0,0.16176470588235292,0.0675690546935182,1.0,1.0,0.44642857142857145,< 0 DM,critical account/ other credits existing (not at this bank),radio/television,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,N,15.0,1478.0,4.0,4.0,44.0,< 0 DM,critical account/ other credits existing (not at this bank),radio/television,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,N,0.1690856,0.5627069,0.99110234,0.9884287,0.2533736,< 0 DM,critical account/ other credits existing (not at this bank),radio/television,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,15.497821,10476.635,3.9733071,3.9652863,33.18892,< 0 DM,critical account/ other credits existing (not at this bank),radio/television,... < 100 DM,.. >= 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,118.23892784118652,Y,Y,N,N,Y
