,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.5123282,0.005949153,2.8206967e-05,0.14833699,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,54.39996,594.90936,0.12286955,15.5370245,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.6268957,0.049227938,0.033877857,0.21821564,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,62.76339,4922.7446,147.57195,22.385132,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.22555302,0.09955531,0.005117096,0.41586718,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,33.46537,9955.432,22.29007,41.754982,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.37076545,0.40001735,0.40501598,0.46138206,State-gov,Doctorate,Married-AF-spouse,Prof-specialty,Husband,White,Male,Cambodia,44.06588,40001.336,1764.2496,46.215443,State-gov,Doctorate,Married-AF-spouse,Prof-specialty,Husband,White,Male,Cambodia,3.1098930835723877,Y,Y,>50K,>50K,<=50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.1910272,0.09955639,0.002737429,0.38117218,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,30.944986,9955.539,11.924241,38.354874,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.23111378,0.09955525,0.04101771,0.5051178,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,33.871304,9955.425,178.67316,50.50154,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.21369897,0.0013699174,0.0050470587,0.42546186,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,32.600025,136.99037,21.984987,42.695263,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,3.1098930835723877,Y,Y,>50K,>50K,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.23396893,0.06114865,0.0,0.33681053,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,34.07973,6114.8037,0.0,34.00743,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.5278153,0.056624874,0.038329776,0.46748647,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,55.530518,5662.4307,166.96451,46.813675,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,0.7544487,0.41071844,0.15813398,0.39546597,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,Italy,72.07475,41071.434,688.8316,39.755665,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,Italy,3.1098930835723877,N,N,<=50K,>50K,<=50K
0,0.1232876712328767,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K,26.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K,0.18798953,0.099559344,0.03691645,0.33026722,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,30.723236,9955.835,160.80806,33.366188,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.27397260273972607,0.0,0.0,0.37755102040816324,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K,37.00000000000001,0.0,0.0,38.0,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K,0.27721635,0.09955958,0.04666832,0.41997948,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,37.23679,9955.858,203.2872,42.15799,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.1232876712328767,0.024070240702407025,0.0,0.5,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K,26.0,2407.0,0.0,50.00000000000001,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K,0.12936816,0.036160603,0.004316314,0.51224566,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,26.443876,3616.0242,18.801865,51.200073,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.1506849315068493,0.0,0.0,0.39795918367346933,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K,28.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K,0.15890436,0.0017287561,0.005449472,0.40057832,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,28.600018,172.87389,23.7379,40.256676,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,3.1098930835723877,N,N,>50K,<=50K,>50K
0,0.4246575342465753,0.07688076880768807,0.0,0.39795918367346933,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,>50K,48.0,7688.0,0.0,40.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,>50K,0.44010615,0.045768373,0.0,0.37213975,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,49.12775,4576.7915,0.0,37.469696,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,3.1098930835723877,Y,Y,>50K,>50K,<=50K
0,0.3424657534246575,0.0,0.3232323232323232,0.39795918367346933,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K,42.0,0.0,1408.0,40.0,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K,0.36074436,0.056626588,0.31190774,0.35118753,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,43.33434,5662.602,1358.6702,35.416378,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.1506849315068493,0.0,0.0,0.31632653061224486,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K,28.0,0.0,0.0,32.0,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K,0.40921125,0.8045783,0.22335899,0.6633887,Private,Assoc-acdm,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,United-States,46.87242,80457.02,972.9518,66.01209,Private,Assoc-acdm,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.0547945205479452,0.0,0.39462809917355374,0.2959183673469387,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K,21.0,0.0,1719.0,29.999999999999996,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K,0.12011437,0.09955579,0.46591836,0.24621089,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,25.768349,9955.4795,2029.5404,25.128668,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.0,0.5544077134986226,0.2959183673469387,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.0,0.0,2415.0,29.999999999999996,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.10611673,0.49560165,0.44516593,0.0020589307,Self-emp-not-inc,Prof-school,Divorced,Prof-specialty,Husband,White,Female,United-States,24.746521,49559.668,1939.1428,1.2017752,Self-emp-not-inc,Prof-school,Divorced,Prof-specialty,Husband,White,Female,United-States,3.1098930835723877,Y,Y,>50K,>50K,<=50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,<=50K,0.07119415,0.099556,0.08990617,0.46108386,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,22.197172,9955.5,391.6313,46.18622,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.41095890410958896,0.0,0.0,0.5,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,46.99999999999999,0.0,0.0,50.00000000000001,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.4350693,0.016226808,0.013749348,0.46326408,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,48.760056,1622.6646,59.89216,46.39988,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,3.1098930835723877,Y,Y,>50K,>50K,<=50K
0,0.5616438356164384,0.0,0.0,0.19387755102040813,Private,Bachelors,Divorced,Craft-repair,Own-child,White,Female,United-States,<=50K,58.00000000000001,0.0,0.0,20.0,Private,Bachelors,Divorced,Craft-repair,Own-child,White,Female,United-States,<=50K,0.52950764,0.09955701,0.06490502,0.2583033,Private,Bachelors,Divorced,Craft-repair,Own-child,White,Female,United-States,55.654057,9955.602,282.72626,26.313725,Private,Bachelors,Divorced,Craft-repair,Own-child,White,Female,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.6020408163265305,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K,38.0,0.0,0.0,59.99999999999999,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K,0.3123298,0.016439032,0.009259521,0.5856018,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,39.80007,1643.8867,40.334473,58.388977,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.2346938775510204,Private,9th,Married-civ-spouse,Other-service,Wife,Black,Female,Haiti,<=50K,38.0,0.0,0.0,24.0,Private,9th,Married-civ-spouse,Other-service,Wife,Black,Female,Haiti,<=50K,0.27405584,0.061150216,0.0,0.19392708,Private,9th,Married-civ-spouse,Other-service,Wife,Black,Female,Haiti,37.006077,6114.9604,0.0,20.004854,Private,9th,Married-civ-spouse,Other-service,Wife,Black,Female,Haiti,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.3424657534246575,0.0,0.0,0.39795918367346933,Private,HS-grad,Separated,Transport-moving,Other-relative,Black,Male,United-States,<=50K,42.0,0.0,0.0,40.0,Private,HS-grad,Separated,Transport-moving,Other-relative,Black,Male,United-States,<=50K,0.38167194,0.04777737,0.043333787,0.3606668,Private,HS-grad,Separated,Transport-moving,Other-relative,Black,Male,United-States,44.86205,4777.689,188.76198,36.34535,Private,HS-grad,Separated,Transport-moving,Other-relative,Black,Male,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
0,0.5342465753424657,0.0,0.0,0.39795918367346933,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,Laos,>50K,56.0,0.0,0.0,40.0,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,Laos,>50K,0.5302292,0.006122796,0.006122796,0.39183637,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,Laos,55.706734,612.27344,26.670898,39.399963,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,Laos,3.1098930835723877,N,N,<=50K,>50K,<=50K
0,0.4794520547945205,0.0,0.0,0.39795918367346933,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,United-States,>50K,52.0,0.0,0.0,40.0,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,United-States,>50K,0.15469573,0.31264004,0.47402307,0.6442104,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,United-States,28.292788,31263.691,2064.8445,64.13262,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,United-States,3.1098930835723877,Y,Y,>50K,>50K,<=50K
0,0.4246575342465753,0.0,0.0,0.39795918367346933,Private,Assoc-voc,Divorced,Other-service,Own-child,White,Female,United-States,<=50K,48.0,0.0,0.0,40.0,Private,Assoc-voc,Divorced,Other-service,Own-child,White,Female,United-States,<=50K,0.37574348,0.056625143,0.037750095,0.45458433,Private,Assoc-voc,Divorced,Other-service,Own-child,White,Female,United-States,44.42927,5662.4575,164.4394,45.549263,Private,Assoc-voc,Divorced,Other-service,Own-child,White,Female,United-States,3.1098930835723877,Y,Y,<=50K,<=50K,>50K
