,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.53222483,0.011676936,0.011676936,0.15453409,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,55.852413,1167.682,50.864735,16.14434,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,4.359149217605591,Y,Y,<=50K,<=50K,>50K
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.66221964,0.0046854108,0.0046854108,0.19856296,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,65.34203,468.53638,20.409649,20.45917,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,4.359149217605591,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.2847003,0.120316744,0.120316744,0.5182759,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,37.78312,12031.554,524.09973,51.79104,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,4.359149217605591,Y,Y,<=50K,<=50K,>50K
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.4456552,0.0,0.0,0.3504637,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,49.53283,0.0,0.0,35.34544,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,4.359149217605591,Y,Y,>50K,>50K,<=50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.28021345,0.074733995,0.074733995,0.47269318,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,37.45558,7473.3247,325.5413,47.32393,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,4.359149217605591,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.4222128,0.135885,0.135885,0.61547685,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,47.821533,13588.364,591.91504,61.31673,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,4.359149217605591,Y,Y,<=50K,<=50K,>50K
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.18317766,0.0,0.0,0.40626964,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,30.37197,0.0,0.0,40.814423,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,4.359149217605591,Y,Y,>50K,>50K,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.29198834,0.045412995,0.045412995,0.44337216,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,38.315147,4541.254,197.819,44.45047,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,4.359149217605591,Y,Y,<=50K,<=50K,>50K
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.6076559,0.12820382,0.12820382,0.6282038,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,61.35888,12820.254,558.4559,62.563972,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,4.359149217605591,Y,Y,<=50K,<=50K,>50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,0.29685476,0.03658081,0.03658081,0.43453997,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,38.670395,3658.0442,159.34601,43.584915,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,4.359149217605591,Y,Y,<=50K,<=50K,>50K
