,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.5613137,0.061148662,0.020592714,0.16234022,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,57.9759,6114.805,89.70186,16.909342,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,151.730614900589,Y,Y,<=50K,<=50K,>50K
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.6721339,0.061147306,0.00021058694,0.16459778,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,66.06577,6114.6694,0.9173167,17.130583,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,151.730614900589,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.16416451,0.09634973,0.017017832,0.32036602,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,28.98401,9634.877,74.12968,32.39587,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,151.730614900589,Y,Y,<=50K,<=50K,>50K
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.106842056,0.0,0.3363288,0.19039991,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,24.799469,0.0,1465.0482,19.659191,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,151.730614900589,Y,Y,>50K,>50K,<=50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.23140182,0.08488292,0.03920579,0.35362852,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,33.89233,8488.207,170.78043,35.655594,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,151.730614900589,Y,Y,<=50K,<=50K,>50K
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.2582845,0.10346466,0.07847883,0.41061538,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,35.85477,10346.363,341.8538,41.240307,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,151.730614900589,Y,Y,<=50K,<=50K,>50K
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.14794502,0.0,0.03814819,0.3905789,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,27.799986,0.0,166.17352,39.27673,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,151.730614900589,Y,Y,>50K,>50K,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.2663137,0.06114875,0.029401284,0.36961052,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,36.4409,6114.814,128.07199,37.22183,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,151.730614900589,Y,Y,<=50K,<=50K,>50K
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.5336015,0.08567943,0.06904022,0.54596,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,55.95291,8567.857,300.7392,54.50408,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,151.730614900589,Y,Y,<=50K,<=50K,>50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,0.25205424,0.0014562188,0.008219719,0.39301804,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,35.39996,145.62042,35.805096,39.515766,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,151.730614900589,N,N,<=50K,>50K,<=50K
