,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.20049116,0.0986018,0.061556503,0.061556503,25 - 45,Female,Other,F,0,0,0,33.63831,3.7468686,65.06522,49.183647,25 - 45,Female,Other,F,0,0,0,2.5389511585235596,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.06796103,0.20526434,0.18237455,0.0856157,Less than 25,Male,Caucasian,F,1,0,1,23.30096,7.800045,192.7699,68.406944,Less than 25,Male,Caucasian,F,1,0,1,2.5389511585235596,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.28743643,0.14210585,0.12060566,0.0019667726,25 - 45,Male,African-American,M,0,0,0,40.42004,5.400022,127.48019,1.5714513,25 - 45,Male,African-American,M,0,0,0,2.5389511585235596,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.1307227,0.012441945,0.007386272,0.020280646,25 - 45,Male,African-American,M,0,0,0,28.19637,0.4727939,7.807289,16.204237,25 - 45,Male,African-American,M,0,0,0,2.5389511585235596,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.056389123,0.084324196,0.02850154,0.055171788,25 - 45,Male,African-American,F,0,0,0,22.39835,3.2043195,30.12613,44.08226,25 - 45,Male,African-American,F,0,0,0,2.5389511585235596,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,High,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,High,0.069228895,0.053269345,0.0060755285,0.011448876,Less than 25,Male,African-American,M,0,0,0,23.399855,2.024235,6.4218335,9.147652,Less than 25,Male,African-American,M,0,0,0,2.5389511585235596,N,N,Medium-Low,High,Medium-Low
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.09639576,0.018961517,0.007972891,0.001733725,Less than 25,Male,African-American,M,1,0,1,25.518867,0.72053766,8.427346,1.3852463,Less than 25,Male,African-American,M,1,0,1,2.5389511585235596,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.1256353,0.008975316,0.0,0.04384215,25 - 45,Male,African-American,F,0,0,0,27.799553,0.341062,0.0,35.02988,25 - 45,Male,African-American,F,0,0,0,2.5389511585235596,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.07026849,0.05222943,0.00024043341,0.010580178,25 - 45,Male,Hispanic,F,1,0,1,23.480944,1.9847183,0.2541381,8.453563,25 - 45,Male,Hispanic,F,1,0,1,2.5389511585235596,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.2393842,0.10647833,0.000904053,0.0067586256,25 - 45,Female,African-American,M,0,0,0,36.671967,4.046177,0.955584,5.4001417,25 - 45,Female,African-American,M,0,0,0,2.5389511585235596,Y,Y,Medium-Low,Medium-Low,High
