,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.0,0.2155995,0.15688851,0.18928373,25 - 45,Female,Other,F,0,0,0,18.0,8.192781,165.83116,151.2377,25 - 45,Female,Other,F,0,0,0,2.877323627471924,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.09553562,0.11364116,0.121227786,0.03334343,Less than 25,Male,Caucasian,F,1,0,1,25.451778,4.318364,128.13777,26.641401,Less than 25,Male,Caucasian,F,1,0,1,2.877323627471924,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.14976585,0.1835675,0.15560934,0.18607062,25 - 45,Male,African-American,M,0,0,0,29.681736,6.975565,164.47906,148.67043,25 - 45,Male,African-American,M,0,0,0,2.877323627471924,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.01411809,0.12690756,0.12690756,0.12690756,25 - 45,Male,African-American,M,0,0,0,19.101212,4.8224874,134.14128,101.39914,25 - 45,Male,African-American,M,0,0,0,2.877323627471924,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.02721208,0.113813564,0.113813564,0.113813564,25 - 45,Male,African-American,F,0,0,0,20.122541,4.3249154,120.300934,90.937035,25 - 45,Male,African-American,F,0,0,0,2.877323627471924,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,0.034338515,0.09521615,0.04098216,0.04633926,Less than 25,Male,African-American,M,0,0,0,20.678404,3.6182137,43.318146,37.025066,Less than 25,Male,African-American,M,0,0,0,2.877323627471924,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.039701078,0.037222,0.029431581,0.038473565,Less than 25,Male,African-American,M,1,0,1,21.096685,1.4144361,31.109182,30.74038,Less than 25,Male,African-American,M,1,0,1,2.877323627471924,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.05183491,0.12765227,0.10578025,0.12890384,25 - 45,Male,African-American,F,0,0,0,22.043121,4.850786,111.80972,102.99416,25 - 45,Male,African-American,F,0,0,0,2.877323627471924,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.0,0.144758,0.0930725,0.09212642,25 - 45,Male,Hispanic,F,1,0,1,18.0,5.500804,98.37763,73.60901,25 - 45,Male,Hispanic,F,1,0,1,2.877323627471924,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.1306227,0.2182302,0.11391312,0.112967044,25 - 45,Female,African-American,M,0,0,0,28.18857,8.2927475,120.406166,90.260666,25 - 45,Female,African-American,M,0,0,0,2.877323627471924,Y,Y,Medium-Low,Medium-Low,High
