,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.0,0.21565369,0.0,0.1893379,25 - 45,Female,Other,F,0,0,0,18.0,8.19484,0.0,151.28098,25 - 45,Female,Other,F,0,0,0,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.10266196,0.10651483,0.1075605,0.026217096,Less than 25,Male,Caucasian,F,1,0,1,26.007633,4.0475636,113.69145,20.94746,Less than 25,Male,Caucasian,F,1,0,1,20.59276247024536,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.21809983,0.11523351,0.11592825,0.11773664,25 - 45,Male,African-American,M,0,0,0,35.011787,4.3788733,122.536156,94.07157,25 - 45,Male,African-American,M,0,0,0,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.060869314,0.080156334,0.080156334,0.080156334,25 - 45,Male,African-American,M,0,0,0,22.747807,3.0459406,84.72524,64.044914,25 - 45,Male,African-American,M,0,0,0,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.05544226,0.08558339,0.0027222447,0.08558339,25 - 45,Male,African-American,F,0,0,0,22.324497,3.2521687,2.8774126,68.38113,25 - 45,Male,African-American,F,0,0,0,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,0.049612142,0.07994252,0.028257012,0.031065634,Less than 25,Male,African-American,M,0,0,0,21.869747,3.0378156,29.867662,24.821442,Less than 25,Male,African-American,M,0,0,0,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.05404257,0.022880506,0.022880506,0.024132071,Less than 25,Male,African-American,M,1,0,1,22.21532,0.8694592,24.184694,19.281525,Less than 25,Male,African-American,M,1,0,1,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.08669998,0.092787206,0.015464534,0.09403877,25 - 45,Male,African-American,F,0,0,0,24.762598,3.5259137,16.346012,75.13698,25 - 45,Male,African-American,F,0,0,0,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.02195759,0.12041758,0.068732075,0.067786,25 - 45,Male,Hispanic,F,1,0,1,19.712692,4.575868,72.6498,54.161015,25 - 45,Male,Hispanic,F,1,0,1,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.147303,0.2015499,0.09723282,0.096286744,25 - 45,Female,African-American,M,0,0,0,29.489634,7.6588964,102.775085,76.933105,25 - 45,Female,African-American,M,0,0,0,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
0,0.11538461538461539,0.10526315789473684,0.000946073793755913,0.04130162703379224,25 - 45,Male,African-American,F,0,0,0,Medium-Low,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.09140907,0.1292387,0.008633622,0.06527717,25 - 45,Male,African-American,F,0,0,0,25.129908,4.9110703,9.125738,52.156456,25 - 45,Male,African-American,F,0,0,0,20.59276247024536,N,N,High,Medium-Low,High
0,0.19230769230769232,0.02631578947368421,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,0.09164108,0.1269824,0.069502644,0.10066661,25 - 45,Male,Hispanic,F,0,0,0,25.148005,4.825331,73.464294,80.432625,25 - 45,Male,Hispanic,F,0,0,0,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
0,0.11538461538461539,0.10526315789473684,0.28382213812677387,0.0,25 - 45,Male,African-American,M,1,0,1,High,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,High,0.11577331,0.10487446,0.28343344,0.0,25 - 45,Male,African-American,M,1,0,1,27.030317,3.9852295,299.58914,0.0,25 - 45,Male,African-American,M,1,0,1,20.59276247024536,Y,Y,High,High,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.011004986,0.14419068,0.042061277,0.09155912,25 - 45,Male,Caucasian,F,0,0,0,18.858389,5.479246,44.45877,73.15574,25 - 45,Male,Caucasian,F,0,0,0,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
0,0.20512820512820515,0.05263157894736842,0.0,0.0012515644555694619,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,34.0,2.0,0.0,1.0,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,0.15179136,0.10596842,0.05333684,0.054588404,25 - 45,Male,Hispanic,M,1,0,1,29.839725,4.0268,56.37704,43.616135,25 - 45,Male,Hispanic,M,1,0,1,20.59276247024536,Y,Y,Medium-Low,Medium-Low,High
