,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,High,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,High,0.12820514,0.02631579,0.0,0.0,25 - 45,Female,Other,F,0,0,0,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,4.3612260818481445,N,Y,Medium-Low,High,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.051282052,0.15789473,0.1589404,0.077597,Less than 25,Male,Caucasian,F,1,0,1,22.000002,6.0,168.00002,62.000004,Less than 25,Male,Caucasian,F,1,0,1,4.3612260818481445,Y,N,High,High,High
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,High,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,High,0.33333334,0.0,0.0009460738,0.002503129,25 - 45,Male,African-American,M,0,0,0,44.000004,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,4.3612260818481445,N,Y,Medium-Low,High,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,High,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,High,0.14102565,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,29.0,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,4.3612260818481445,N,Y,Medium-Low,High,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,High,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,High,0.14102565,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,29.0,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,4.3612260818481445,N,Y,Medium-Low,High,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,High,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,High,0.07692308,0.05263158,0.0009460738,0.0037546933,Less than 25,Male,African-American,M,0,0,0,24.0,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,4.3612260818481445,N,Y,Medium-Low,High,High
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,High,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,High,0.07692308,0.0,0.0,0.0012515645,Less than 25,Male,African-American,M,1,0,1,24.0,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,4.3612260818481445,N,Y,Medium-Low,High,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,High,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,High,0.17948718,0.0,0.0,0.0012515645,25 - 45,Male,African-American,F,0,0,0,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,4.3612260818481445,N,Y,Medium-Low,High,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,High,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,High,0.08974359,0.05263158,0.0009460738,0.0,25 - 45,Male,Hispanic,F,1,0,1,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,4.3612260818481445,N,Y,Medium-Low,High,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,High,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,High,0.24358974,0.10526316,0.0009460738,0.0,25 - 45,Female,African-American,M,0,0,0,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,4.3612260818481445,N,Y,Medium-Low,High,High
0,0.11538461538461539,0.10526315789473684,0.000946073793755913,0.04130162703379224,25 - 45,Male,African-American,F,0,0,0,High,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,High,0.115384616,0.10526316,0.0009460738,0.041301627,25 - 45,Male,African-American,F,0,0,0,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,4.3612260818481445,Y,N,High,High,High
0,0.19230769230769232,0.02631578947368421,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,0,0,0,High,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,High,0.1923077,0.02631579,0.0009460738,0.0,25 - 45,Male,Hispanic,F,0,0,0,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,4.3612260818481445,N,Y,Medium-Low,High,High
0,0.11538461538461539,0.10526315789473684,0.28382213812677387,0.0,25 - 45,Male,African-American,M,1,0,1,High,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,High,0.115384616,0.10526316,0.28382215,0.0,25 - 45,Male,African-American,M,1,0,1,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,4.3612260818481445,Y,N,High,High,High
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,High,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,High,0.102564104,0.05263158,0.0009460738,0.0,25 - 45,Male,Caucasian,F,0,0,0,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,4.3612260818481445,N,Y,Medium-Low,High,High
0,0.20512820512820515,0.05263157894736842,0.0,0.0012515644555694619,25 - 45,Male,Hispanic,M,1,0,1,High,34.0,2.0,0.0,1.0,25 - 45,Male,Hispanic,M,1,0,1,High,0.20512821,0.05263158,0.0,0.0012515645,25 - 45,Male,Hispanic,M,1,0,1,34.0,2.0,0.0,1.0,25 - 45,Male,Hispanic,M,1,0,1,4.3612260818481445,N,Y,Medium-Low,High,High
