,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,0.08456637,0.2947549,0.0,0.014497422,25 - 45,Female,Other,F,0,0,0,24.596176,11.2006855,0.0,11.58344,25 - 45,Female,Other,F,0,0,0,137.1136486530304,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,0.056378353,0.14210472,0.1536909,0.07841357,Less than 25,Male,Caucasian,F,1,0,1,22.39751,5.399979,162.45128,62.652443,Less than 25,Male,Caucasian,F,1,0,1,137.1136486530304,Y,Y,High,High,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.18715599,0.05315213,0.024362898,0.09995469,25 - 45,Male,African-American,M,0,0,0,32.598167,2.0197809,25.751583,79.86379,25 - 45,Male,African-American,M,0,0,0,137.1136486530304,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.09134769,0.017108824,0.07217341,0.097625725,25 - 45,Male,African-American,M,0,0,0,25.125118,0.65013534,76.28729,78.00295,25 - 45,Male,African-American,M,0,0,0,137.1136486530304,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.09362041,0.06661398,0.022389049,0.06329191,25 - 45,Male,African-American,F,0,0,0,25.302391,2.5313313,23.665224,50.570232,25 - 45,Male,African-American,F,0,0,0,137.1136486530304,Y,Y,Medium-Low,Medium-Low,High
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,High,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,High,0.08337439,0.047589492,0.0066623804,0.009102802,Less than 25,Male,African-American,M,0,0,0,24.503202,1.8084008,7.042136,7.2731385,Less than 25,Male,African-American,M,0,0,0,137.1136486530304,N,N,Medium-Low,High,Medium-Low
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,0.07448647,0.0028520946,0.0035413702,0.005757743,Less than 25,Male,African-American,M,1,0,1,23.809946,0.108379595,3.7432282,4.6004367,Less than 25,Male,African-American,M,1,0,1,137.1136486530304,Y,Y,Medium-Low,Medium-Low,High
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.20487754,0.06119224,0.043591812,0.11830345,25 - 45,Male,African-American,F,0,0,0,33.98045,2.3253052,46.076546,94.52445,25 - 45,Male,African-American,F,0,0,0,137.1136486530304,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,0.09772626,0.10790187,0.0,0.0037878908,25 - 45,Male,Hispanic,F,1,0,1,25.62265,4.100271,0.0,3.0265248,25 - 45,Male,Hispanic,F,1,0,1,137.1136486530304,Y,Y,Medium-Low,Medium-Low,High
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.32209152,0.25726107,0.0955982,0.15199792,25 - 45,Female,African-American,M,0,0,0,43.12314,9.775921,101.047295,121.44634,25 - 45,Female,African-American,M,0,0,0,137.1136486530304,Y,Y,Medium-Low,Medium-Low,High
0,0.11538461538461539,0.10526315789473684,0.000946073793755913,0.04130162703379224,25 - 45,Male,African-American,F,0,0,0,Medium-Low,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.12307831,0.10382734,0.0023349489,0.03792475,25 - 45,Male,African-American,F,0,0,0,27.600107,3.945439,2.468041,30.301876,25 - 45,Male,African-American,F,0,0,0,137.1136486530304,N,N,High,Medium-Low,High
0,0.19230769230769232,0.02631578947368421,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,0.19799334,0.20003144,0.17466173,0.13368666,25 - 45,Male,Hispanic,F,0,0,0,33.443478,7.601195,184.61745,106.81564,25 - 45,Male,Hispanic,F,0,0,0,137.1136486530304,Y,Y,Medium-Low,Medium-Low,High
0,0.11538461538461539,0.10526315789473684,0.28382213812677387,0.0,25 - 45,Male,African-American,M,1,0,1,Medium-Low,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,Medium-Low,0.16081744,0.07139041,0.3194303,0.022631548,25 - 45,Male,African-American,M,1,0,1,30.54376,2.7128358,337.63782,18.082607,25 - 45,Male,African-American,M,1,0,1,137.1136486530304,N,N,High,Medium-Low,High
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.040519793,0.14841859,0.09673309,0.098212,25 - 45,Male,Caucasian,F,0,0,0,21.160543,5.6399064,102.24688,78.47139,25 - 45,Male,Caucasian,F,0,0,0,137.1136486530304,Y,Y,Medium-Low,Medium-Low,High
0,0.20512820512820515,0.05263157894736842,0.0,0.0012515644555694619,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,34.0,2.0,0.0,1.0,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,0.16956416,0.033186536,0.046133388,0.04738495,25 - 45,Male,Hispanic,M,1,0,1,31.226004,1.2610884,48.76299,37.860577,25 - 45,Male,Hispanic,M,1,0,1,137.1136486530304,Y,Y,Medium-Low,Medium-Low,High
